date,equity
2005-03-01,100000.0
2005-03-02,98853.832987
2005-03-03,98882.614736
2005-03-04,99735.387512
2005-03-07,99751.726584
2005-03-08,99123.69168
2005-03-09,98269.296153
2005-03-10,97742.501957
2005-03-11,97685.12584
2005-03-14,98084.41517000001
2005-03-15,97818.421823
2005-03-16,97229.079693
2005-03-17,97569.270351
2005-03-18,97164.538063
2005-03-21,96923.800206
2005-03-22,96499.810613
2005-03-23,95760.802206
2005-03-24,96055.805871
2005-03-28,95862.772875
2005-03-29,94519.884226
2005-03-30,95584.094338
2005-03-31,95911.364475
2005-04-01,95532.240423
2005-04-04,95233.299521
2005-04-05,95478.560772
2005-04-06,95677.442882
2005-04-07,96162.03417
2005-04-08,95255.392034
2005-04-11,94935.693689
2005-04-12,95433.486728
2005-04-13,94302.330771
2005-04-14,92857.703907
2005-04-15,91418.613834
2005-04-18,91739.124662
2005-04-19,93170.398121
2005-04-20,92167.488552
2005-04-21,93709.543722
2005-04-22,92598.079697
2005-04-25,93490.141938
2005-04-26,92649.941159
2005-04-27,92579.444211
2005-04-28,91441.407639
2005-04-29,91963.718637
2005-05-02,92579.153172
2005-05-03,92107.083372
2005-05-04,93363.136748
2005-05-05,93493.516268
2005-05-06,93792.95123
2005-05-09,94660.792156
2005-05-10,93842.152948
2005-05-11,93944.29095
2005-05-12,92804.166788
2005-05-13,92331.596658
2005-05-16,93317.163068
2005-05-17,93831.794188
2005-05-18,95341.266908
2005-05-19,95786.856522
2005-05-20,95709.875766
2005-05-23,96299.637412
2005-05-24,96265.432608
2005-05-25,95561.410062
2005-05-26,96523.766736
2005-05-27,96863.672064
2005-05-31,96860.15505
2005-06-01,97618.203618
2005-06-02,97576.381824
2005-06-03,97093.2306
2005-06-06,97344.546516
2005-06-07,97343.941032
2005-06-08,96973.869478
2005-06-09,97521.704491
2005-06-10,97584.588598
2005-06-13,98019.40548
2005-06-14,98455.807016
2005-06-15,98795.828336
2005-06-16,99643.703532
2005-06-17,99729.343826
2005-06-20,99313.23729800001
2005-06-21,99263.738671
2005-06-22,99568.768618
2005-06-23,98456.274108
2005-06-24,97826.977061
2005-06-27,97584.331145
2005-06-28,98944.016708
2005-06-29,99236.310395
2005-06-30,98944.603204
2005-07-01,99381.689868
2005-07-04,98966.38086800001
2005-07-05,99857.167508
2005-07-06,99623.953622
2005-07-07,99850.576054
2005-07-08,101402.838787
2005-07-11,102657.141863
2005-07-12,102808.455734
2005-07-13,102571.810136
2005-07-14,102159.863374
2005-07-15,102396.677839
2005-07-18,102034.473535
2005-07-19,103203.287806
2005-07-20,104217.52430800001
2005-07-21,103302.236272
2005-07-22,104230.94869
2005-07-25,103612.589191
2005-07-26,103971.159573
2005-07-27,104257.569892
2005-07-28,105400.761387
2005-07-29,105319.774873
2005-08-01,105677.442781
2005-08-02,106045.981825
2005-08-03,105865.704433
2005-08-04,104677.882624
2005-08-05,103588.965443
2005-08-08,103098.389466
2005-08-09,103302.29258
2005-08-10,103207.023706
2005-08-11,104060.352248
2005-08-12,103394.920298
2005-08-15,103932.578953
2005-08-16,102788.620278
2005-08-17,102788.167839
2005-08-18,102222.629591
