date,rolling_return_annual,rolling_volatility_annual,rolling_sharpe,rolling_max_drawdown
2005-03-01,,,,
2005-03-02,,,,
2005-03-03,,,,
2005-03-04,,,,
2005-03-07,,,,
2005-03-08,,,,
2005-03-09,,,,
2005-03-10,,,,
2005-03-11,,,,
2005-03-14,,,,
2005-03-15,,,,
2005-03-16,,,,
2005-03-17,,,,
2005-03-18,,,,
2005-03-21,,,,
2005-03-22,,,,
2005-03-23,,,,
2005-03-24,,,,
2005-03-28,,,,
2005-03-29,,,,
2005-03-30,,,,
2005-03-31,,,,
2005-04-01,,,,
2005-04-04,,,,
2005-04-05,,,,
2005-04-06,,,,
2005-04-07,,,,
2005-04-08,,,,
2005-04-11,,,,
2005-04-12,,,,
2005-04-13,,,,
2005-04-14,,,,
2005-04-15,,,,
2005-04-18,,,,
2005-04-19,,,,
2005-04-20,,,,
2005-04-21,,,,
2005-04-22,,,,
2005-04-25,,,,
2005-04-26,,,,
2005-04-27,,,,
2005-04-28,,,,
2005-04-29,,,,
2005-05-02,,,,
2005-05-03,,,,
2005-05-04,,,,
2005-05-05,,,,
2005-05-06,,,,
2005-05-09,,,,
2005-05-10,,,,
2005-05-11,,,,
2005-05-12,,,,
2005-05-13,,,,
2005-05-16,,,,
2005-05-17,,,,
2005-05-18,,,,
2005-05-19,,,,
2005-05-20,,,,
2005-05-23,,,,
2005-05-24,,,,
2005-05-25,-0.18239125025961359,0.12932072705143335,-1.4103790971347776,
2005-05-26,-0.09195589424923302,0.12921314249560314,-0.7116605360198719,
2005-05-27,-0.07838857921280926,0.12945256472339528,-0.6055390202604654,
2005-05-31,-0.11476226341528008,0.12810913658543263,-0.8958163833907984,
2005-06-01,-0.0825802147804452,0.12922489727585795,-0.6390426034091574,
2005-06-02,-0.057936470324968625,0.1286255235430707,-0.45042747915866327,
2005-06-03,-0.042530994510696106,0.12782081180234908,-0.33273919881264963,
2005-06-06,-0.009144698622953374,0.12747939400296512,-0.0717347199088558,
2005-06-07,-0.00670536816156233,0.12747423388411294,-0.05260175297588525,
2005-06-08,-0.039840028297545384,0.12741202961029852,-0.3126865525916179,
2005-06-09,-0.0047230414052555235,0.12784773121655604,-0.03694270801924014,
2005-06-10,0.023289614384225985,0.12723867338546435,0.18303880231186512,
2005-06-13,0.027308751750120066,0.1273631502924272,0.21441642804389552,
2005-06-14,0.06343021573365655,0.12735506956734652,0.4980580352956745,
2005-06-15,0.08834114406247302,0.12739222634633054,0.6934578866869583,
2005-06-16,0.14275868881409554,0.12810495314887524,1.114388517422825,
2005-06-17,0.17853260218183845,0.12695337021623856,1.4062848578005092,
2005-06-20,0.14807004963206674,0.12724436571660222,1.163666845271934,
2005-06-21,0.1544170183095413,0.12715027690574898,1.2144450021450128,
2005-06-22,0.22615878077067955,0.12352805220790605,1.8308293276578105,
2005-06-23,0.13194336978948698,0.12404472675981874,1.0636757662819634,
2005-06-24,0.09071811304125135,0.12469385280146625,0.7275267465324852,
2005-06-27,0.09690261552126123,0.12451270525739765,0.7782548401059978,
2005-06-28,0.16856577177017673,0.12733432010041146,1.323804702748258,
2005-06-29,0.17015656037649154,0.12736090436307268,1.336018782431221,
2005-06-30,0.14906196154966023,0.12753959533406337,1.1687504665451032,
2005-07-01,0.1463430706953354,0.12744948488294722,1.1482437204806322,
2005-07-04,0.16839032644194674,0.1261359681642929,1.334990557353294,
2005-07-05,0.22029024941259365,0.12699133785201092,1.734687208896944,
2005-07-06,0.188458656234379,0.12682732838203398,1.485946748532752,
2005-07-07,0.24779457085325687,0.12410783857007904,1.9966069323924014,
2005-07-08,0.3774273896925831,0.12290473328787309,3.0708938508377495,
2005-07-11,0.4944700748072578,0.11967206410628799,4.13187554255009,
2005-07-12,0.4859356921608597,0.11963255248738347,4.061901899251935,
2005-07-13,0.4107415353871809,0.1164775855135072,3.5263568829691243,
2005-07-14,0.43908343809500167,0.11420956328921232,3.8445417831001842,
2005-07-15,0.3785491210701686,0.10986761756688258,3.445502227621569,
2005-07-18,0.41350768837887497,0.10682573544559552,3.8708620788243224,
2005-07-19,0.4211575288749148,0.10747107063115628,3.9187990442594476,
2005-07-20,0.5001788997650244,0.1064131959295804,4.700346563183958,
2005-07-21,0.46648825754611906,0.10854569209902827,4.297621107989555,
2005-07-22,0.5558759570512618,0.10541910183414274,5.273009799740362,
2005-07-25,0.5069687851141885,0.10646092465403251,4.762017489155686,
2005-07-26,0.49339664720607773,0.1060593603534923,4.652080170591292,
2005-07-27,0.5263826208147634,0.10504378690226801,5.011078106927981,
2005-07-28,0.5151610104623339,0.10392598663516447,4.956998986892693,
2005-07-29,0.5060686616734076,0.1040782117370098,4.862388133187453,
2005-08-01,0.5068804523050313,0.1040884400191326,4.8697093761022945,
2005-08-02,0.4826660443868619,0.10304065247732415,4.684229309330905,
2005-08-03,0.5118482376488469,0.10096116892316935,5.069753481542586,
2005-08-04,0.4601526071796711,0.10453982850597475,4.401696595029062,
2005-08-05,0.4674338125833064,0.1036070919635514,4.511600545141716,
2005-08-08,0.4689303907317478,0.1035075689746486,4.53039710406685,
2005-08-09,0.4324052900257133,0.1018662112048415,4.244835308110114,
2005-08-10,0.4053694943797754,0.10169493185506068,3.986132710699121,
2005-08-11,0.37253018916739844,0.09814065146453092,3.795880540919731,
2005-08-12,0.326043323979365,0.0992169376861554,3.286165967052021,
2005-08-15,0.351258932198851,0.09943749920476852,3.5324594343982296,
2005-08-16,0.27915034670973365,0.10211039421418366,2.7338093135180377,-4.20074585723725
2005-08-17,0.28062366372363184,0.10209145726311995,2.7487477527172666,-4.20074585723725
2005-08-18,0.28823141456945583,0.10151873153920199,2.839194404809459,-3.60537209256018
2005-08-19,0.25142878964755555,0.09980151476839816,2.5192883117157825,-3.60537209256018
2005-08-22,0.2569074063894893,0.09997805099528373,2.569638073876919,-3.60537209256018
2005-08-23,0.24641179123131793,0.10022163723476633,2.4586685872443423,-3.60537209256018
2005-08-24,0.20583245322511748,0.09935399832190875,2.071707799400449,-3.60537209256018
2005-08-25,0.22422557965680945,0.09952478594390234,2.252962189571504,-3.60537209256018
2005-08-26,0.21047139340207388,0.10056656252638799,2.092856592834697,-3.8529298505082674
2005-08-29,0.22599852796383432,0.10112568058335376,2.2348282519350064,-3.8529298505082674
2005-08-30,0.21841790988911292,0.10126208002010108,2.156956580842066,-3.8529298505082674
2005-08-31,0.3008472285200915,0.10530476555505698,2.8569194084839222,-3.8529298505082674
2005-09-01,0.2892664995255871,0.10495752090675688,2.756034031925814,-3.8529298505082674
2005-09-02,0.2528736507114554,0.10662391941051884,2.3716409236266407,-3.8529298505082674
2005-09-05,0.23415931343097424,0.10639850224469932,2.2007764065366797,-3.8529298505082674
2005-09-06,0.2632639480467346,0.10830915696562697,2.430671195513821,-3.8529298505082674
2005-09-07,0.26191433284979365,0.10828063046598445,2.4188475050676037,-3.8529298505082674
