date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2005-03-01,1006.29,1006.29,forced,962,100000.0,100.62899999999999
2005-04-01,408.98,1415.27,scheduled,406,95532.240423,42.8106781741021
2005-05-02,479.26,1894.53,scheduled,476,92579.153172,51.76759384584101
2005-06-01,413.08,2307.61,scheduled,410,97618.203618,42.315878052465145
2005-07-01,415.0,2722.61,scheduled,412,99381.689868,41.75819515156244
2005-08-01,417.31,3139.92,scheduled,414,105677.442781,39.48903276026557
2005-09-01,423.27,3563.19,scheduled,420,104336.656355,40.56771750091799
2005-10-03,389.85,3953.04,scheduled,387,105746.563837,36.866446138233215
2005-11-01,448.6,4401.64,scheduled,445,102502.072445,43.76496877570035
2005-12-01,395.09,4796.7300000000005,scheduled,392,109072.130115,36.22281875153969
2006-01-03,378.89,5175.620000000001,scheduled,376,109692.527201,34.54109497411104
2006-02-01,443.93,5619.550000000001,scheduled,440,116421.66857,38.131217792423364
2006-03-01,363.21,5982.760000000001,scheduled,360,118010.906784,30.77766368364557
2006-04-03,384.52,6367.280000000001,scheduled,381,120649.78769,31.87075645652966
2006-05-01,442.21,6809.490000000001,scheduled,438,121762.443776,36.31743797894781
2006-06-01,435.94,7245.43,scheduled,432,118479.651426,36.79450392983974
2006-07-03,412.33,7657.76,scheduled,409,117103.47059,35.21074122932192
2006-08-01,499.46,8157.22,scheduled,495,111917.381142,44.62756319916819
2006-09-01,426.69,8583.91,scheduled,423,115257.17189700001,37.02068973038078
2006-10-02,389.1,8973.01,scheduled,386,115456.682347,33.70095104851333
2006-11-01,378.08,9351.09,scheduled,375,120328.678274,31.420606078550566
2006-12-01,355.3,9706.39,scheduled,352,125046.142828,28.41351136185883
2007-01-02,333.87,10040.26,scheduled,331,126388.282658,26.416214618837298
2007-02-01,414.99,10455.25,scheduled,411,130585.490418,31.77918149035013
2007-03-01,356.54,10811.79,scheduled,353,128581.870972,27.728636805855796
2007-04-02,393.47,11205.26,scheduled,390,130173.728028,30.226529266747722
2007-05-01,369.41,11574.67,scheduled,366,133041.412376,27.766542267003157
2007-06-01,425.08,11999.75,scheduled,421,138264.800984,30.743905677714043
2007-07-02,375.52,12375.27,scheduled,372,137302.534414,27.349822900407457
2007-08-01,448.78,12824.050000000001,scheduled,444,130424.45298,34.40919166199749
2007-09-03,444.55,13268.6,scheduled,440,131965.72349,33.68677776647712
2007-10-01,403.12,13671.720000000001,scheduled,399,137235.436646,29.37433725954118
2007-11-01,472.39,14144.11,scheduled,467,134579.961344,35.10106521672445
2007-12-03,451.63,14595.74,scheduled,447,129176.70599,34.962185832092835
2008-01-02,447.57,15043.31,scheduled,443,127980.725638,34.97167231774998
2008-02-01,496.76,15540.07,scheduled,491,125338.113848,39.63359466238902
2008-03-03,502.34,16042.41,scheduled,497,120167.151984,41.80343727101775
2008-04-01,428.07,16470.48,scheduled,424,123471.476904,34.669545609536016
2008-05-01,458.75,16929.23,scheduled,454,126877.010922,36.15706239186428
2008-06-02,483.09,17412.32,scheduled,478,127179.041228,37.98503238705356
2008-07-01,525.48,17937.8,scheduled,520,116841.838424,44.973616222394476
