date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2006-02-21,179.89,179.89,forced,99,100000.0,17.988999999999997
2006-03-01,149.07,328.96,scheduled,85,101138.982422,14.739123968838143
2006-04-03,197.99,526.95,scheduled,97,105117.597944,18.83509553799703
2006-05-01,212.52,739.47,scheduled,96,106677.9056,19.921650955247102
2006-06-01,249.36,988.83,scheduled,100,102495.260825,24.328929746884228
2006-07-03,268.85,1257.68,scheduled,95,101864.707115,26.392850636332977
2006-08-01,276.32,1534.0,scheduled,92,98605.484558,28.022782022582916
2006-09-01,288.02,1822.02,scheduled,85,100942.791433,28.53299338280842
2006-10-02,282.83,2104.85,scheduled,96,100983.462681,28.007556137527292
2006-11-01,293.2,2398.0499999999997,scheduled,91,104722.195961,27.997885005122672
2006-12-01,308.36,2706.41,scheduled,76,109567.861093,28.143289183884626
2007-01-02,309.96,3016.37,scheduled,64,110774.352021,27.981206330255894
2007-02-01,319.78,3336.1499999999996,scheduled,53,116115.579631,27.539801378610747
2007-03-01,321.49,3657.6399999999994,scheduled,41,113123.740809,28.41932185948563
2007-04-02,320.37,3978.0099999999993,scheduled,43,115521.84516699999,27.732417149056843
2007-05-01,328.34,4306.349999999999,scheduled,40,116286.729059,28.235380138124892
2007-06-01,334.55,4640.9,scheduled,33,121979.140789,27.426820506852557
2007-07-02,350.44,4991.339999999999,scheduled,31,121582.944735,28.823121595205045
2007-08-01,345.34,5336.679999999999,scheduled,25,114505.119649,30.159350172166377
2007-09-03,355.24,5691.919999999999,scheduled,23,116886.744749,30.39181224208395
2007-10-01,379.29,6071.209999999999,scheduled,16,123811.502045,30.634472059158515
2007-11-01,388.08,6459.289999999999,scheduled,16,122387.661679,31.709078731960858
2007-12-03,376.8,6836.089999999999,scheduled,19,118939.770445,31.679899716490493
2008-01-02,374.99,7211.079999999999,scheduled,15,116038.87951299999,32.315892877782346
2008-02-01,379.39,7590.469999999999,scheduled,14,112572.83042299999,33.70173767279516
2008-03-03,385.66,7976.129999999999,scheduled,15,108496.829275,35.54573922363134
2008-04-01,389.43,8365.56,scheduled,14,110832.712379,35.13673821031444
2008-05-01,390.31,8755.869999999999,scheduled,20,115911.787505,33.67302052719733
2008-06-02,394.01,9149.88,scheduled,13,116958.642563,33.68797648175215
2008-07-01,395.46,9545.339999999998,scheduled,13,108382.577145,36.487414344367586
2008-08-01,390.16,9935.499999999998,scheduled,12,107069.534453,36.43987078054098
2008-09-01,390.38,10325.879999999997,scheduled,13,109616.287349,35.613320742846824
2008-10-01,368.69,10694.569999999998,scheduled,15,96331.274813,38.27313618715289
2008-11-03,350.96,11045.529999999997,scheduled,26,75956.522485,46.20538019882468
2008-12-01,326.98,11372.509999999997,scheduled,36,58965.910549,55.45237866347936
2009-01-02,348.91,11721.419999999996,scheduled,23,70902.811152,49.20961444702297
2009-02-02,334.7,12056.119999999997,scheduled,23,64335.050177,52.02451837360288
2009-03-02,323.55,12379.669999999996,scheduled,27,55900.57385,57.87954894133882
2009-04-01,341.26,12720.929999999997,scheduled,28,65313.052389,52.24989301793448
2009-05-01,338.86,13059.789999999997,scheduled,27,73206.057967,46.288518930052504
2009-06-01,354.14,13413.929999999997,scheduled,20,79138.323977,44.749494581528396
2009-07-01,349.79,13763.719999999998,scheduled,20,77607.447513,45.07170525630376
2009-08-03,343.83,14107.549999999997,scheduled,19,85941.28954499999,40.00754489725989
2009-09-01,354.14,14461.689999999997,scheduled,21,85540.497677,41.40027350989104
2009-10-01,362.09,14823.779999999997,scheduled,21,90855.905865,39.853215545285344
2009-11-02,356.41,15180.189999999997,scheduled,23,89482.015255,39.83035015296941
2009-12-01,378.72,15558.909999999996,scheduled,16,96427.24647499999,39.27520631818395
2010-01-04,374.78,15933.689999999997,scheduled,18,99439.377457,37.689294682286594
2010-02-01,380.07,16313.759999999997,scheduled,12,95094.970013,39.96741362324867
2010-03-01,380.08,16693.839999999997,scheduled,10,99147.733695,38.33471384925537
2010-04-01,391.4,17085.239999999998,scheduled,10,105386.274475,37.13956129010414
2010-05-03,403.83,17489.07,scheduled,7,110569.168405,36.52283957864501
2010-06-01,387.13,17876.2,scheduled,11,99987.367225,38.71789114407298
2010-07-01,376.95,18253.15,scheduled,8,97374.055255,38.71154374877945
2010-08-02,392.07,18645.22,scheduled,7,105939.017885,37.009027252414576
2010-09-01,383.84,19029.06,scheduled,7,103845.847655,36.96247935451454
2010-10-01,394.16,19423.22,scheduled,6,111042.830927,35.49621319174782
2010-11-01,397.31,19820.530000000002,scheduled,5,113573.14984499999,34.98274024646076
2010-12-01,410.47,20231.000000000004,scheduled,5,117279.113917,34.99941176998448
2011-01-03,421.53,20652.530000000002,scheduled,4,123017.057165,34.26597983356172
2011-02-01,417.86,21070.390000000003,scheduled,5,124730.869533,33.50092896525884
2011-03-01,421.54,21491.930000000004,scheduled,3,124887.338427,33.75362188909178
2011-04-01,433.4,21925.330000000005,scheduled,2,131013.987477,33.080437314075716
2011-05-02,441.44,22366.770000000004,scheduled,2,133937.975137,32.95853917072197
2011-06-01,436.61,22803.380000000005,scheduled,2,132847.370313,32.86553576268079
2011-07-01,437.6,23240.980000000003,scheduled,0,135877.400543,32.20550277317944
2011-08-01,431.22,23672.200000000004,scheduled,0,128362.929293,33.59381110847832
2011-09-01,412.06,24084.260000000006,scheduled,0,120889.153613,34.085770946756675
2011-10-03,394.89,24479.150000000005,scheduled,0,103238.204523,38.25037463839505
2011-11-01,416.2,24895.350000000006,scheduled,0,115729.317187,35.96322955293062
2011-12-01,413.81,25309.160000000007,scheduled,0,117208.851297,35.30535411113543
2012-01-03,422.2,25731.360000000008,scheduled,0,121446.339147,34.76432496569241
2012-02-01,433.95,26165.31000000001,scheduled,0,129195.023525,33.58875505882222
2012-03-01,441.14,26606.450000000008,scheduled,0,133174.784195,33.12488942006204
2012-04-02,449.84,27056.290000000008,scheduled,0,136290.106145,33.00606424955103
2012-05-01,450.05,27506.340000000007,scheduled,0,135410.489555,33.23597761731761
2012-06-01,427.73,27934.070000000007,scheduled,0,123121.920885,34.740361174149825
2012-07-02,441.42,28375.490000000005,scheduled,0,134181.977155,32.8971154963751
2012-08-01,443.85,28819.340000000004,scheduled,0,132706.258945,33.4460487039992
