date,equity
2005-02-25,1000000.0
2005-02-28,993867.696054
2005-03-01,1000976.311934
2005-03-02,999167.477676
2005-03-03,999402.9282
2005-03-04,1008927.356592
2005-03-07,1009391.466016
2005-03-08,1002020.45493
2005-03-09,992391.326818
2005-03-10,986431.650304
2005-03-11,985866.52942
2005-03-14,990091.446574
2005-03-15,987149.596342
2005-03-16,980271.513424
2005-03-17,983941.668298
2005-03-18,979399.939606
2005-03-21,976486.10652
2005-03-22,972021.74978
2005-03-23,963765.167424
2005-03-24,966757.73188
2005-03-28,964438.602208
2005-03-29,949373.544354
2005-03-30,960863.450286
2005-03-31,964197.714862
2005-04-01,960153.753854
2005-04-04,960603.034412
2005-04-05,963609.112933
2005-04-06,965802.568333
2005-04-07,971121.589051
2005-04-08,961045.813025
2005-04-11,957400.38821
2005-04-12,963280.305639
2005-04-13,950651.015032
2005-04-14,934762.018328
2005-04-15,918581.996065
2005-04-18,921762.934283
2005-04-19,937551.814092
2005-04-20,926060.960323
2005-04-21,943017.601383
2005-04-22,930803.801808
2005-04-25,940689.723729
2005-04-26,931541.10898
2005-04-27,930585.341872
2005-04-28,917669.3032
2005-04-29,923325.703658
2005-05-02,930112.363503
2005-05-03,929677.856216
2005-05-04,943998.498892
2005-05-05,945548.308171
2005-05-06,948610.926416
2005-05-09,958368.907569
2005-05-10,949142.602437
2005-05-11,950210.698123
2005-05-12,937727.110652
2005-05-13,932282.549601
2005-05-16,942973.58482
2005-05-17,948936.089132
2005-05-18,965402.623722
2005-05-19,970364.382841
2005-05-20,969607.608988
2005-05-23,976138.284318
2005-05-24,975383.442039
2005-05-25,967648.82646
2005-05-26,978136.541593
2005-05-27,981936.210777
2005-05-31,981784.719511
2005-06-01,990298.092409
2005-06-02,993765.613959
2005-06-03,988436.478641
2005-06-06,991220.585317
2005-06-07,991134.231813
2005-06-08,986665.678489
2005-06-09,992918.476328
2005-06-10,993645.584405
2005-06-13,998702.545741
2005-06-14,1003741.021725
2005-06-15,1007748.132911
2005-06-16,1016959.328747
2005-06-17,1018085.538495
2005-06-20,1013527.886627
2005-06-21,1012921.928368
2005-06-22,1016286.372405
2005-06-23,1003533.611823
2005-06-24,996410.98136
2005-06-27,993650.912946
2005-06-28,1009185.871373
2005-06-29,1012532.943698
2005-06-30,1009075.006639
2005-07-01,1014349.149885
2005-07-04,1013640.287885
2005-07-05,1024175.964445
2005-07-06,1020982.472655
2005-07-07,1023407.917065
2005-07-08,1040707.87621
2005-07-11,1054686.01762
2005-07-12,1056241.233145
2005-07-13,1053508.657135
2005-07-14,1048640.811385
2005-07-15,1051090.03275
2005-07-18,1046982.80694
2005-07-19,1060027.935075
2005-07-20,1071358.663665
2005-07-21,1060975.971985
2005-07-22,1071415.442305
2005-07-25,1064209.00826
2005-07-26,1068239.80684
2005-07-27,1071449.226635
2005-07-28,1084361.63586
2005-07-29,1083301.39882
2005-08-01,1087339.88831
2005-08-02,1095480.143388
2005-08-03,1093022.34096
2005-08-04,1079273.084321
2005-08-05,1066407.375542
2005-08-08,1060956.706999
2005-08-09,1062994.540635
2005-08-10,1061850.653505
2005-08-11,1071538.422973
2005-08-12,1063809.015533
2005-08-15,1069764.471248
2005-08-16,1056586.072755
2005-08-17,1056022.729044
2005-08-18,1049626.606312
2005-08-19,1051372.644276
2005-08-22,1056901.005141
2005-08-23,1053967.664555
2005-08-24,1051785.196343
2005-08-25,1056163.300797
2005-08-26,1046336.617097
2005-08-29,1053552.38445
2005-08-30,1051616.11219
2005-08-31,1070356.622733
2005-09-01,1073957.147658
2005-09-02,1068469.904348
2005-09-05,1068541.928348
2005-09-06,1082167.093638
2005-09-07,1085899.742244
2005-09-08,1083345.839722
2005-09-09,1091225.606274
2005-09-12,1095374.482364
2005-09-13,1087225.512584
2005-09-14,1080323.830374
2005-09-15,1078767.846614
2005-09-16,1088050.15574
2005-09-19,1081359.413286
2005-09-20,1072428.600506
2005-09-21,1060056.373574
2005-09-22,1060697.989098
2005-09-23,1068337.228086
2005-09-26,1075755.826296
2005-09-27,1075283.942046
2005-09-28,1072788.909594
2005-09-29,1084699.410406
2005-09-30,1090550.306246
2005-10-03,1095127.441016
2005-10-04,1085663.285888
2005-10-05,1061127.264666
2005-10-06,1052358.398252
2005-10-07,1060686.415226
2005-10-10,1052504.986366
2005-10-11,1044647.74784
2005-10-12,1029564.69022
2005-10-13,1029516.077336
2005-10-14,1041916.90685
2005-10-17,1044338.282462
2005-10-18,1032820.20275
2005-10-19,1047678.53768
2005-10-20,1033604.794068
2005-10-21,1040259.6639020001
2005-10-24,1059472.247852
2005-10-25,1056220.718932
2005-10-26,1050701.410376
2005-10-27,1030548.279236
2005-10-28,1045101.965705
2005-10-31,1061437.854323
2005-11-01,1059085.151747
2005-11-02,1076673.160165
2005-11-03,1081381.236225
2005-11-04,1081770.195193
2005-11-07,1087196.052175
2005-11-08,1080237.237741
2005-11-09,1085637.946421
2005-11-10,1093022.481023
2005-11-11,1097996.924629
2005-11-14,1095530.634209
2005-11-15,1085271.906197
2005-11-16,1084976.691829
2005-11-17,1101105.063761
2005-11-18,1107852.041791
2005-11-21,1117443.834547
2005-11-22,1122192.915249
2005-11-23,1124641.458959
2005-11-24,1124619.411959
2005-11-25,1127153.749961
2005-11-28,1111272.833875
2005-11-29,1115200.944507
2005-11-30,1118670.372059
2005-12-01,1136720.483435
2005-12-02,1136578.930221
2005-12-05,1133104.591503
2005-12-06,1135721.300329
2005-12-07,1129757.332595
2005-12-08,1132046.860159
2005-12-09,1137545.822975
2005-12-12,1141634.662179
2005-12-13,1141402.003531
2005-12-14,1143083.743409
2005-12-15,1136133.243403
2005-12-16,1135055.168269
2005-12-19,1122108.198555
2005-12-20,1122399.263153
2005-12-21,1131182.048369
2005-12-22,1137488.417815
2005-12-23,1142026.960723
2005-12-27,1129746.563455
2005-12-28,1134211.848927
2005-12-29,1133584.630661
2005-12-30,1127932.208505
2006-01-03,1146964.016987
2006-01-04,1155253.546973
2006-01-05,1158907.307833
2006-01-06,1171873.935951
2006-01-09,1183794.372085
2006-01-10,1189643.615317
2006-01-11,1191956.349659
2006-01-12,1185256.513749
2006-01-13,1187314.613311
2006-01-16,1187326.041311
2006-01-17,1181348.368837
2006-01-18,1179799.370797
2006-01-19,1195548.081423
2006-01-20,1180546.043147
2006-01-23,1185813.065283
2006-01-24,1200211.336013
2006-01-25,1201218.927925
2006-01-26,1217353.304975
2006-01-27,1223086.523679
2006-01-30,1223711.778597
2006-01-31,1228022.891049
2006-02-01,1230826.139029
2006-02-02,1219780.710913
2006-02-03,1216467.552157
2006-02-06,1221605.696067
2006-02-07,1207092.921827
2006-02-08,1210703.889195
2006-02-09,1212000.396251
2006-02-10,1210535.902113
2006-02-13,1202239.169063
2006-02-14,1214116.851003
2006-02-15,1222859.922673
2006-02-16,1233327.039173
2006-02-17,1233204.655293
2006-02-20,1233232.664293
2006-02-21,1229699.881083
2006-02-22,1238530.923323
2006-02-23,1236940.811203
2006-02-24,1243367.381343
2006-02-27,1247552.407073
2006-02-28,1235379.2038130001
2006-03-01,1252861.907043
2006-03-02,1252120.087127
2006-03-03,1248097.995207
2006-03-06,1239418.970761
2006-03-07,1224095.862596
2006-03-08,1222168.510483
2006-03-09,1218971.699153
2006-03-10,1230395.572028
2006-03-13,1234031.32069
2006-03-14,1245832.822839
2006-03-15,1255594.554762
2006-03-16,1257150.552008
2006-03-17,1260014.783198
2006-03-20,1261239.002761
2006-03-21,1250194.568726
2006-03-22,1261018.297601
2006-03-23,1263887.889701
2006-03-24,1272998.550891
2006-03-27,1274599.514616
2006-03-28,1270285.675693
2006-03-29,1287407.650697
2006-03-30,1288067.577613
2006-03-31,1291930.308322
2006-04-03,1287079.973509
2006-04-04,1289701.91797
2006-04-05,1297439.840601
2006-04-06,1298240.465041
2006-04-07,1285838.303939
2006-04-10,1280871.387433
2006-04-11,1264741.122643
2006-04-12,1270428.024398
2006-04-13,1274888.169126
2006-04-17,1274695.171078
2006-04-18,1301315.733727
2006-04-19,1314570.709292
2006-04-20,1311772.272486
2006-04-21,1311344.021774
2006-04-24,1305365.683547
2006-04-25,1302737.511613
2006-04-26,1305199.281096
2006-04-27,1300363.363001
2006-04-28,1306505.744892
2006-05-01,1302612.499571
2006-05-02,1310724.473685
2006-05-03,1312275.173701
2006-05-04,1322650.776319
2006-05-05,1333347.400945
2006-05-08,1333261.196685
2006-05-09,1334457.882209
2006-05-10,1327774.419025
2006-05-11,1301905.497705
2006-05-12,1279222.436039
2006-05-15,1269431.171865
2006-05-16,1269986.769791
2006-05-17,1247850.539179
2006-05-18,1238339.983821
2006-05-19,1242997.921189
2006-05-22,1228917.522799
2006-05-23,1226007.139301
2006-05-24,1222258.060079
2006-05-25,1243528.571975
2006-05-26,1252747.278125
2006-05-30,1228259.626635
2006-05-31,1243305.647681
2006-06-01,1264891.927131
2006-06-02,1268823.240855
2006-06-05,1237909.622521
2006-06-06,1230209.523583
2006-06-07,1223776.366153
2006-06-08,1217534.801851
2006-06-09,1212979.093605
2006-06-12,1185523.013695
2006-06-13,1167376.350561
2006-06-14,1174529.217033
2006-06-15,1210970.915681
2006-06-16,1200535.490911
2006-06-19,1184070.017159
2006-06-20,1182054.846551
2006-06-21,1202063.663991
2006-06-22,1197343.359619
2006-06-23,1201747.202019
2006-06-26,1210635.260309
2006-06-27,1193562.367071
2006-06-28,1196867.656099
2006-06-29,1234508.820631
2006-06-30,1244461.096277
2006-07-03,1253467.532273
2006-07-04,1252716.699273
2006-07-05,1237495.087397
2006-07-06,1240125.697907
2006-07-07,1224519.38815
2006-07-10,1222853.176656
2006-07-11,1228943.573017
2006-07-12,1212306.516817
2006-07-13,1187956.964176
2006-07-14,1177444.229998
2006-07-17,1169984.068249
2006-07-18,1173168.72023
2006-07-19,1204556.720241
2006-07-20,1179998.409295
2006-07-21,1162258.12465
