date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2005-02-25,1479.8,1479.8,forced,995,1000000.0,14.797999999999998
2005-03-01,599.68,2079.48,scheduled,591,1000976.311934,5.9909509630787365
2005-04-01,904.41,2983.89,scheduled,670,960153.753854,9.41942888177807
2005-05-02,944.78,3928.67,scheduled,760,930112.363503,10.157697468311877
2005-06-01,907.36,4836.03,scheduled,687,990298.092409,9.162493666858989
2005-07-01,922.44,5758.469999999999,scheduled,709,1014349.149885,9.093910120638244
2005-08-01,929.36,6687.829999999999,scheduled,722,1087339.88831,8.547097462270601
2005-09-01,946.05,7633.879999999999,scheduled,752,1073957.147658,8.809010695287705
2005-10-03,946.03,8579.91,scheduled,747,1095127.441016,8.63853798716179
2005-11-01,939.45,9519.36,scheduled,757,1059085.151747,8.870391568141077
2005-12-01,920.4,10439.76,scheduled,702,1136720.483435,8.096977343266378
2006-01-03,895.59,11335.35,scheduled,686,1146964.016987,7.808353067192612
2006-02-01,966.33,12301.68,scheduled,767,1230826.139029,7.8510682326127625
2006-03-01,967.06,13268.74,scheduled,753,1252861.907043,7.718807592150769
2006-04-03,946.87,14215.61,scheduled,748,1287079.973509,7.356730113813546
2006-05-01,950.7,15166.310000000001,scheduled,745,1302612.499571,7.298409928609635
2006-06-01,944.75,16111.060000000001,scheduled,723,1264891.927131,7.469017547948631
2006-07-03,955.38,17066.440000000002,scheduled,733,1253467.532273,7.621896661874781
2006-08-01,981.7,18048.140000000003,scheduled,798,1195963.05618,8.20844753462224
2006-09-01,956.06,19004.200000000004,scheduled,758,1239333.571669,7.714307284619767
2006-10-02,975.1,19979.300000000003,scheduled,756,1247580.115529,7.815930919887555
2006-11-01,943.69,20922.99,scheduled,708,1308979.122699,7.209358679871029
2006-12-01,935.74,21858.730000000003,scheduled,716,1369404.115833,6.833191087868136
2007-01-02,929.55,22788.280000000002,scheduled,696,1388742.006196,6.6934678713017055
2007-02-01,949.25,23737.530000000002,scheduled,747,1443067.827826,6.577999881197941
2007-03-01,957.05,24694.58,scheduled,737,1420996.584412,6.735061931172914
2007-04-02,953.42,25648.0,scheduled,740,1446322.171808,6.5920305903086645
2007-05-01,964.7,26612.7,scheduled,745,1486360.991076,6.490347942336933
2007-06-01,981.76,27594.46,scheduled,769,1556541.371156,6.307317095406685
2007-07-02,972.95,28567.41,scheduled,765,1547993.45878,6.28523327719226
2007-08-01,998.7,29566.11,scheduled,771,1463183.240012,6.825529248078384
2007-09-03,987.09,30553.2,scheduled,766,1486035.659712,6.642438178040103
2007-10-01,992.11,31545.31,scheduled,654,1560791.931264,6.356452645142421
2007-11-01,1018.57,32563.88,scheduled,720,1533900.95877,6.640389616920039
2007-12-03,1034.52,33598.4,scheduled,754,1470510.358,7.035108555148307
2008-01-02,1031.1,34629.5,scheduled,752,1460436.58191,7.060217559406095
2008-02-01,1023.43,35652.93,scheduled,700,1427292.15648,7.1704310526304
2008-03-03,1018.61,36671.54,scheduled,721,1367559.637214,7.448377184304136
2008-04-01,1011.71,37683.25,scheduled,710,1413557.178822,7.157191906754824
2008-05-01,1009.43,38692.68,scheduled,690,1460483.781778,6.911613895301973
2008-06-02,1032.59,39725.27,scheduled,737,1474419.567198,7.0033660904429205
2008-07-01,1054.65,40779.92,scheduled,734,1352869.8711320001,7.795649991950316
2008-08-01,1050.58,41830.5,scheduled,697,1377137.64256,7.628721832387408
2008-09-01,1030.04,42860.54,scheduled,727,1415351.92754,7.277624596098128
2008-10-01,1063.41,43923.950000000004,scheduled,758,1267481.546038,8.38994463725406
2008-11-03,1079.44,45003.39000000001,scheduled,779,1018393.008835,10.599444326850156
2008-12-01,1085.81,46089.200000000004,scheduled,820,801971.532684,13.53925863635163
2009-01-02,1050.98,47140.18000000001,scheduled,731,980526.725548,10.718524774657467
2009-02-02,1065.98,48206.16000000001,scheduled,778,881572.838094,12.09179722806225
2009-03-02,1059.89,49266.05000000001,scheduled,789,730876.965413,14.501619973767859
