date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2006-02-17,1474.1,1474.1,forced,105,1000000.0,14.741
2006-03-01,926.28,2400.38,scheduled,119,1017869.9764619999,9.10017999764217
2006-04-03,1446.83,3847.21,scheduled,136,1058508.8407,13.668567936033487
2006-05-01,2035.08,5882.29,scheduled,152,1070911.227728,19.003255800366755
2006-06-01,2308.88,8191.17,scheduled,159,1024195.645688,22.543349112258895
2006-07-03,2393.71,10584.880000000001,scheduled,179,1012310.397612,23.646008236669967
2006-08-01,2257.12,12842.0,scheduled,169,978497.471174,23.067203201781503
2006-09-01,2586.26,15428.26,scheduled,167,1009973.136975,25.60721572997657
2006-10-02,2617.68,18045.94,scheduled,181,1009783.756665,25.923173973855334
2006-11-01,2817.47,20863.41,scheduled,172,1050625.140021,26.817081494391843
2006-12-01,2958.78,23822.19,scheduled,168,1096694.675439,26.979067795834965
2007-01-02,2985.37,26807.559999999998,scheduled,159,1113698.908243,26.80589859524776
2007-02-01,3048.57,29856.129999999997,scheduled,162,1166325.247713,26.138249223171815
2007-03-01,2985.03,32841.159999999996,scheduled,150,1129251.190741,26.433711334333527
2007-04-02,3253.19,36094.35,scheduled,137,1155450.795499,28.155158252282458
2007-05-01,3281.66,39376.009999999995,scheduled,125,1164345.968975,28.184578187606203
2007-06-01,3363.58,42739.59,scheduled,110,1220975.889819,27.548291723423173
2007-07-02,3389.61,46129.2,scheduled,106,1217713.681869,27.835853784589816
2007-08-01,3340.84,49470.03999999999,scheduled,98,1144482.096139,29.190845459886052
2007-09-03,3520.7,52990.73999999999,scheduled,90,1169524.799259,30.103679735826745
2007-10-01,3621.82,56612.55999999999,scheduled,76,1241794.653463,29.166013800267297
2007-11-01,3432.25,60044.80999999999,scheduled,61,1226077.852749,27.99373622404582
2007-12-03,3371.22,63416.02999999999,scheduled,69,1197486.462813,28.152468563867604
2008-01-02,3300.81,66716.84,scheduled,55,1166738.049161,28.29092616267729
2008-02-01,3227.77,69944.61,scheduled,41,1131929.945821,28.51563395700134
2008-03-03,3127.75,73072.36,scheduled,35,1094343.457741,28.581063631124202
2008-04-01,3255.66,76328.02,scheduled,38,1122400.558905,29.006222191979134
2008-05-01,3350.25,79678.27,scheduled,35,1170095.320307,28.632282702583485
2008-06-02,3400.92,83079.19,scheduled,29,1191937.878371,28.53269504823503
2008-07-01,3192.55,86271.74,scheduled,26,1109497.126669,28.774747795741202
2008-08-01,3182.09,89453.83,scheduled,16,1098612.8434889999,28.964616778866755
2008-09-01,3283.92,92737.75,scheduled,16,1124816.317829,29.195166783660028
2008-10-01,2926.9,95664.65,scheduled,18,980211.286099,29.859888796509807
2008-11-03,2466.64,98131.29,scheduled,27,771235.910739,31.98295055577041
2008-12-01,1997.74,100129.03,scheduled,22,598369.79123,33.386377943536814
2009-01-02,2374.72,102503.75,scheduled,15,717044.807239,33.11815351043294
2009-02-02,2130.35,104634.1,scheduled,25,652515.293079,32.64827694608652
2009-03-02,1863.66,106497.76000000001,scheduled,17,566674.934469,32.88763780854951
2009-04-01,2166.66,108664.42000000001,scheduled,12,669375.5546639999,32.36837653994666
2009-05-01,2376.05,111040.47000000002,scheduled,11,756526.471184,31.407361017802437
2009-06-01,2636.63,113677.10000000002,scheduled,7,821252.45285,32.10498782499923
2009-07-01,2575.04,116252.14000000001,scheduled,6,803042.041258,32.06606712602604
2009-08-03,2772.7,119024.84000000001,scheduled,4,888231.31967,31.215967491780486
2009-09-01,2777.28,121802.12000000001,scheduled,5,882520.6248539999,31.469859420673146
2009-10-01,2937.05,124739.17000000001,scheduled,2,935734.478306,31.38764326945681
2009-11-02,2866.42,127605.59000000001,scheduled,2,922469.384066,31.073334785004814
2009-12-01,2988.09,130593.68000000001,scheduled,2,994609.603256,30.042842842237302
2010-01-04,3009.18,133602.86000000002,scheduled,2,1024341.428374,29.37672846813055
2010-02-01,3040.9,136643.76,scheduled,2,981432.662138,30.9842958902097
2010-03-01,2967.45,139611.21000000002,scheduled,1,1018615.913166,29.132177905769723
2010-04-01,3267.68,142878.89,scheduled,2,1087981.764996,30.03432690815377
2010-05-03,3316.68,146195.57,scheduled,1,1137332.216816,29.161927807559675
2010-06-01,3131.88,149327.45,scheduled,1,1020344.024846,30.69435331355709
2010-07-01,2889.37,152216.82,scheduled,1,993473.172786,29.083523130245485
2010-08-02,3226.22,155443.04,scheduled,2,1084266.357046,29.754865850394797
2010-09-01,3196.84,158639.88,scheduled,2,1059572.576306,30.171033787465323
2010-10-01,3397.19,162037.07,scheduled,1,1138509.371384,29.838928737760785
2010-11-01,3537.49,165574.56,scheduled,0,1165426.894456,30.3535984696083
2010-12-01,3482.27,169056.83,scheduled,0,1208196.889334,28.822040767871435
2011-01-03,3781.65,172838.47999999998,scheduled,0,1274492.521456,29.671810044673975
2011-02-01,3765.59,176604.06999999998,scheduled,0,1289079.793908,29.21145779955299
2011-03-01,3745.88,180349.94999999998,scheduled,0,1289875.125844,29.04064063991443
2011-04-01,3992.12,184342.06999999998,scheduled,0,1354820.398034,29.466045874368472
2011-05-02,4040.77,188382.83999999997,scheduled,0,1385715.885974,29.16016220135775
2011-06-01,4017.37,192400.20999999996,scheduled,0,1368801.791408,29.349537860171743
2011-07-01,4137.04,196537.24999999997,scheduled,0,1404817.359678,29.44895271616131
2011-08-01,3964.35,200501.59999999998,scheduled,0,1323283.954428,29.95842265550346
2011-09-01,3615.0,204116.59999999998,scheduled,0,1246028.438818,29.01217891486682
2011-10-03,3261.08,207377.67999999996,scheduled,0,1055837.942638,30.886179292365888
2011-11-01,3662.16,211039.83999999997,scheduled,0,1192887.741844,30.699955004474504
2011-12-01,3646.02,214685.85999999996,scheduled,0,1208654.526034,30.16594007192288
2012-01-03,3572.91,218258.76999999996,scheduled,0,1247139.662204,28.648836279377058
2012-02-01,3844.54,222103.30999999997,scheduled,0,1324769.5361259999,29.02044389730247
2012-03-01,3893.74,225997.04999999996,scheduled,1,1359076.793316,28.64988953640873
2012-04-02,3836.8,229833.84999999995,scheduled,0,1389523.534866,27.612342675217842
2012-05-01,3590.43,233424.27999999994,scheduled,0,1374337.628406,26.12480314727534
2012-06-01,3578.09,237002.36999999994,scheduled,0,1242122.178406,28.806264489953147
2012-07-02,3975.6,240977.96999999994,scheduled,0,1352243.989076,29.400019760609638
2012-08-01,3900.46,244878.42999999993,scheduled,0,1342033.988926,29.063794450701295
2012-09-03,4077.16,248955.58999999994,scheduled,0,1376515.082766,29.619435711574365
2012-10-01,3951.95,252907.53999999995,scheduled,0,1395725.556406,28.314663881173676
