date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2006-02-17,1616.08,1616.08,forced,990,1000000.0,16.1608
2006-03-01,770.09,2386.17,scheduled,754,1011211.502176,7.615518596681932
2006-04-03,907.92,3294.09,scheduled,672,1034395.439132,8.777300881777569
2006-05-01,915.34,4209.43,scheduled,690,1041285.054252,8.790484375649935
2006-06-01,891.16,5100.59,scheduled,699,1018672.812742,8.748245647208655
2006-07-03,919.2,6019.79,scheduled,700,1013183.919638,9.07239033490011
2006-08-01,947.48,6967.27,scheduled,733,979303.858126,9.6750359159526
2006-09-01,922.03,7889.3,scheduled,707,1013784.977002,9.094926645358852
2006-10-02,918.83,8808.130000000001,scheduled,680,1021672.537154,8.993390412152204
2006-11-01,918.25,9726.380000000001,scheduled,688,1064449.107115,8.626527974538428
2006-12-01,920.02,10646.400000000001,scheduled,689,1108722.223971,8.298020731512498
2007-01-02,892.74,11539.140000000001,scheduled,636,1123691.612335,7.944706449707416
2007-02-01,930.69,12469.830000000002,scheduled,726,1163120.411295,8.001665098145638
2007-03-01,920.81,13390.640000000001,scheduled,683,1145396.546657,8.039224517373592
2007-04-02,951.28,14341.920000000002,scheduled,701,1164538.637135,8.168728539057671
2007-05-01,926.16,15268.080000000002,scheduled,692,1193135.580293,7.76240366390349
2007-06-01,959.86,16227.940000000002,scheduled,740,1241553.243353,7.731122327124327
2007-07-02,905.74,17133.680000000004,scheduled,688,1227973.023909,7.375894929000661
2007-08-01,958.95,18092.630000000005,scheduled,764,1161292.464699,8.257609767997195
2007-09-03,978.67,19071.300000000003,scheduled,658,1179030.937119,8.300630366760448
2007-10-01,990.6,20061.9,scheduled,693,1233724.273379,8.029346762278445
2007-11-01,986.51,21048.41,scheduled,678,1213557.862997,8.129072622575382
2007-12-03,1003.7,22052.11,scheduled,725,1169454.943617,8.582630784352089
2008-01-02,992.92,23045.03,scheduled,710,1159056.651507,8.566621818778314
2008-02-01,999.54,24044.57,scheduled,695,1134064.849447,8.813781685301347
2008-03-03,971.37,25015.94,scheduled,709,1087360.316115,8.933285366442112
2008-04-01,986.68,26002.62,scheduled,690,1121864.525249,8.795001337447625
2008-05-01,993.48,26996.1,scheduled,693,1158999.035075,8.571879440224993
2008-06-02,1001.84,27997.94,scheduled,677,1170289.824973,8.56061446166221
2008-07-01,999.72,28997.66,scheduled,716,1078553.099971,9.269084665621751
2008-08-01,995.89,29993.55,scheduled,713,1094493.154923,9.099097564205993
2008-09-01,983.26,30976.809999999998,scheduled,685,1124570.078229,8.743430214224277
2008-10-01,1024.68,32001.489999999998,scheduled,709,1016447.421853,10.080993644826133
2008-11-03,1022.29,33023.78,scheduled,759,825865.449897,12.378408615198731
2008-12-01,1037.43,34061.21,scheduled,822,662567.299861,15.657730168960082
2009-01-02,1011.48,35072.69,scheduled,740,797015.158483,12.690850220781272
2009-02-02,1025.49,36098.18,scheduled,770,722277.058453,14.198014293800675
2009-03-02,1005.52,37103.7,scheduled,747,604908.432502,16.62268115260032
2009-04-01,1001.84,38105.53999999999,scheduled,720,712852.220897,14.053964771819876
2009-05-01,992.17,39097.70999999999,scheduled,640,826864.564087,11.999183942481867
2009-06-01,1020.18,40117.88999999999,scheduled,676,896489.370787,11.379722205790525
2009-07-01,1016.19,41134.079999999994,scheduled,620,894333.439799,11.362540578024088
2009-08-03,1034.54,42168.619999999995,scheduled,684,996278.496157,10.384044260621785
2009-09-01,1041.57,43210.189999999995,scheduled,670,993785.762335,10.480830370851017
2009-10-01,1019.17,44229.35999999999,scheduled,748,1039970.1565,9.799992755849816
2009-11-02,1043.85,45273.20999999999,scheduled,747,1022809.437352,10.2057134191338
2009-12-01,1049.53,46322.73999999999,scheduled,750,1078417.114802,9.732134121338532
2010-01-04,1034.07,47356.80999999999,scheduled,714,1146699.039286,9.017797735697684
2010-02-01,1004.56,48361.36999999999,scheduled,776,1100245.789008,9.130323515309504
2010-03-01,1017.89,49379.25999999999,scheduled,765,1154197.682263,8.819026546685263
2010-04-01,1009.22,50388.47999999999,scheduled,719,1220567.022879,8.26845212989216
2010-05-03,1030.79,51419.26999999999,scheduled,755,1291335.604159,7.9823556067078005
2010-06-01,1018.59,52437.859999999986,scheduled,749,1154042.425839,8.826278628876883
2010-07-01,998.13,53435.98999999998,scheduled,840,1115030.756409,8.951591642319507
2010-08-02,983.23,54419.21999999999,scheduled,785,1216993.293139,8.079173529904569
2010-09-01,981.33,55400.54999999999,scheduled,778,1174316.723089,8.35660414865459
2010-10-01,975.41,56375.95999999999,scheduled,777,1256757.086699,7.761324844103431
2010-11-01,982.59,57358.54999999999,scheduled,799,1297915.387575,7.570524314653917
2010-12-01,1002.88,58361.429999999986,scheduled,804,1348487.507915,7.437072973339069
2011-01-03,959.13,59320.55999999998,scheduled,749,1436089.810805,6.678760567644162
2011-02-01,956.83,60277.389999999985,scheduled,750,1453972.713585,6.5807975009433575
2011-03-01,959.85,61237.23999999998,scheduled,745,1463532.884691,6.558445047872334
2011-04-01,975.98,62213.21999999999,scheduled,768,1529917.522021,6.379298138312343
2011-05-02,969.23,63182.44999999999,scheduled,729,1551382.375701,6.247524886068455
2011-06-01,987.33,64169.77999999999,scheduled,782,1507742.795299,6.548398062842031
2011-07-01,972.08,65141.85999999999,scheduled,752,1538519.743119,6.318280960303625
2011-08-01,999.45,66141.31,scheduled,804,1462206.647809,6.835217180127009
2011-09-01,1027.72,67169.03,scheduled,748,1362372.278529,7.543606224208148
2011-10-03,1015.47,68184.5,scheduled,793,1197644.943379,8.4788902221303
2011-11-01,993.91,69178.41,scheduled,824,1377264.102055,7.216553444738727
2011-12-01,980.4,70158.81,scheduled,812,1408322.719735,6.9614725819695575
2012-01-03,969.61,71128.42,scheduled,789,1443018.582805,6.719317488727217
2012-02-01,952.37,72080.79,scheduled,745,1548133.374589,6.151730953108844
2012-03-01,981.5,73062.29,scheduled,766,1576636.121659,6.225279165665862
2012-04-02,967.8,74030.09,scheduled,725,1621380.225159,5.968988550511606
2012-05-01,963.76,74993.84999999999,scheduled,756,1599673.040049,6.024731153626736
2012-06-01,986.77,75980.62,scheduled,796,1460399.104359,6.7568515829316
2012-07-02,970.61,76951.23,scheduled,737,1566819.080689,6.194780316136944
2012-08-01,965.75,77916.98,scheduled,762,1535434.765479,6.289749468442712
2012-09-03,954.27,78871.25,scheduled,760,1595262.341449,5.981900125174539
2012-10-01,986.37,79857.62,scheduled,674,1638734.865389,6.019094490711634
2012-11-01,1010.7,80868.31999999999,scheduled,719,1648064.382439,6.132648765239662
2012-12-03,1025.85,81894.17,scheduled,726,1645432.080149,6.234532633562762
2013-01-02,994.0,82888.17,scheduled,676,1734340.537569,5.731285053126161
2013-02-01,999.2,83887.37,scheduled,776,1815079.600259,5.504992727908025
2013-03-01,994.26,84881.62999999999,scheduled,774,1825409.899939,5.446776639226211
2013-04-01,959.96,85841.59,scheduled,757,1877784.251959,5.112195391981379
2013-05-01,986.6,86828.19,scheduled,792,1880967.987709,5.245171669304531
2013-06-03,993.98,87822.17,scheduled,771,1954719.321169,5.085026731129666
2013-07-01,977.09,88799.26,scheduled,764,1938578.532279,5.040239452416351
2013-08-01,1014.72,89813.98,scheduled,687,2057752.352289,4.931205637409414
2013-09-02,997.64,90811.62,scheduled,804,1976031.616619,5.048704644245355
2013-10-01,993.12,91804.73999999999,scheduled,774,2101304.475289,4.7262070379563275
2013-11-01,1034.09,92838.82999999999,scheduled,811,2154254.300799,4.800222516053291
2013-12-02,1012.79,93851.61999999998,scheduled,774,2194679.063319,4.614752183712746
2014-01-02,973.34,94824.95999999998,scheduled,737,2242164.163429,4.341073753098639
2014-02-03,1013.18,95838.13999999997,scheduled,784,2156241.877399,4.698823497585363
2014-03-03,1016.28,96854.41999999997,scheduled,780,2299337.221009,4.419882350071442
2014-04-01,994.72,97849.13999999997,scheduled,772,2354008.477619,4.225643235601792
2014-05-01,1000.23,98849.36999999997,scheduled,761,2315070.940729,4.320515550530103
2014-06-02,979.43,99828.79999999996,scheduled,710,2343170.630849,4.179934602735796
2014-07-01,975.38,100804.17999999996,scheduled,738,2444149.381589,3.9906726133321775
2014-08-01,1002.81,101806.98999999996,scheduled,744,2331010.747179,4.302039367315681
2014-09-01,990.93,102797.91999999995,scheduled,718,2434024.538609,4.071158627539138
2014-10-01,984.5,103782.41999999995,scheduled,741,2297377.216979,4.285321508039484
2014-11-03,1005.81,104788.22999999995,scheduled,755,2437947.786349,4.125642089760552
2014-12-01,978.08,105766.30999999995,scheduled,745,2442053.455169,4.0051539327680805
2015-01-02,959.57,106725.87999999996,scheduled,731,2482416.942099,3.8654666898487995
2015-02-02,1015.05,107740.92999999996,scheduled,811,2466523.897959,4.115305758196521
2015-03-02,1005.41,108746.33999999997,scheduled,752,2583365.868919,3.8918606616905955
2015-04-01,991.11,109737.44999999997,scheduled,768,2575590.024259,3.848089139439587
2015-05-01,981.17,110718.61999999997,scheduled,740,2570541.301329,3.816978157451598
2015-06-01,971.31,111689.92999999996,scheduled,750,2583847.757249,3.759161108757217
