date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2021-01-04,795.01,795.01,forced,763,100000.0,79.501
2021-02-01,228.14,1023.15,scheduled,223,105501.04977,21.624429377467038
2021-03-01,258.12,1281.27,scheduled,253,112279.058164,22.989149020379024
2021-04-01,209.71,1490.98,scheduled,206,114725.042574,18.279356912396242
2021-05-03,200.51,1691.49,scheduled,197,116758.441894,17.17306232829267
2021-06-01,184.02,1875.51,scheduled,181,118869.029654,15.480903691705004
2021-07-01,204.39,2079.9,scheduled,201,118373.819044,17.266486935259515
2021-08-02,209.19,2289.09,scheduled,206,116109.642034,18.01659158838364
2021-09-01,168.93,2458.02,scheduled,166,117878.770614,14.330824721032242
2021-10-01,220.9,2678.92,scheduled,217,116918.057454,18.89357425279756
2021-11-01,202.71,2881.63,scheduled,199,120073.791074,16.882118752715346
2021-12-01,260.31,3141.94,scheduled,256,115055.005094,22.624830600574622
2022-01-03,182.69,3324.63,scheduled,180,120452.387084,15.16698875154689
2022-02-01,233.89,3558.52,scheduled,230,117498.101714,19.905853506408757
2022-03-01,240.17,3798.69,scheduled,236,116550.034954,20.606600426571333
2022-04-01,227.28,4025.9700000000003,scheduled,223,120004.678294,18.939261638049285
2022-05-02,243.71,4269.68,scheduled,240,114042.125274,21.370173470062685
2022-06-01,244.98,4514.66,scheduled,241,114598.923014,21.377164248748826
2022-07-01,272.2,4786.86,scheduled,268,108519.081464,25.083146330380554
2022-08-01,242.01,5028.87,scheduled,238,114892.320344,21.06407106022369
2022-09-01,243.79,5272.66,scheduled,240,110994.637594,21.964124149109207
2022-10-03,234.32,5506.98,scheduled,231,105717.39192,22.16475413783553
2022-11-01,241.63,5748.61,scheduled,238,111713.392704,21.629456786818025
2022-12-01,240.35,5988.96,scheduled,237,116113.693804,20.699539574178992
2023-01-03,223.91,6212.87,scheduled,221,111907.778464,20.00843936617242
2023-02-01,253.62,6466.49,scheduled,249,121584.389644,20.85958573650789
2023-03-01,205.03,6671.5199999999995,scheduled,202,118350.502964,17.323965244352724
2023-04-03,262.07,6933.589999999999,scheduled,258,115365.201524,22.71655547236055
2023-05-01,222.0,7155.589999999999,scheduled,219,113186.477654,19.613650376030986
2023-06-01,253.89,7409.48,scheduled,250,112665.899984,22.53476873091642
2023-07-03,251.17,7660.65,scheduled,247,118202.880664,21.249059125214416
2023-08-01,221.65,7882.299999999999,scheduled,218,120989.585344,18.31975862796788
2023-09-01,213.22,8095.5199999999995,scheduled,210,118259.442434,18.029849930925984
2023-10-02,245.37,8340.89,scheduled,242,112233.851764,21.862387875268894
2023-11-01,263.79,8604.68,scheduled,260,109597.849774,24.06890286113799
2023-12-01,275.88,8880.56,scheduled,271,116903.749204,23.59890096583493
2024-01-02,222.83,9103.39,scheduled,219,121711.266824,18.30808320500207
2024-02-01,222.46,9325.849999999999,scheduled,219,119564.870474,18.605799439089854
2024-03-01,272.5,9598.349999999999,scheduled,267,121553.281654,22.418152458908352
2024-04-01,221.06,9819.409999999998,scheduled,217,123423.190104,17.910734588348298
2024-05-01,232.9,10052.309999999998,scheduled,229,119345.133484,19.51483007316957
2024-06-03,232.02,10284.329999999998,scheduled,228,122610.502434,18.923338163865207
2024-07-01,204.99,10489.319999999998,scheduled,202,120246.124364,17.04753488598682
2024-08-01,269.9,10759.219999999998,scheduled,265,125045.124404,21.58420820375195
2024-09-02,209.31,10968.529999999997,scheduled,206,125555.246764,16.67074896467128
2024-10-01,243.77,11212.299999999997,scheduled,240,125730.120064,19.388353393436237
2024-11-01,237.76,11450.059999999998,scheduled,234,124733.425404,19.061450387489753
2024-12-02,249.28,11699.339999999998,scheduled,245,130642.093474,19.081139422311153
2025-01-02,224.68,11924.019999999999,scheduled,221,124933.297744,17.983996585153008
2025-02-03,224.39,12148.409999999998,scheduled,221,125195.671504,17.923143612263843
2025-03-03,284.3,12432.709999999997,scheduled,280,121875.285124,23.327124913861223
2025-04-01,272.91,12705.619999999997,scheduled,269,119523.299224,22.833205054734663
2025-05-01,267.36,12972.979999999998,scheduled,263,116806.074724,22.889220499168598
2025-06-02,272.42,13245.399999999998,scheduled,267,119781.959024,22.7429908660466
2025-07-01,245.82,13491.219999999998,scheduled,242,124418.731724,19.75747514813978
2025-08-01,245.8,13737.019999999997,scheduled,242,122285.452224,20.100510365676907
2025-09-01,242.09,13979.109999999997,scheduled,238,128938.478724,18.77562093145268
2025-10-01,294.62,14273.729999999998,scheduled,284,134728.311724,21.867712601012094
