date,rolling_return_annual,rolling_volatility_annual,rolling_sharpe,rolling_max_drawdown
2020-01-01,,,,
2020-01-02,,,,
2020-01-03,,,,
2020-01-06,,,,
2020-01-07,,,,
2020-01-08,,,,
2020-01-09,,,,
2020-01-10,,,,
2020-01-13,,,,
2020-01-14,,,,
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-20,,,,
2020-01-21,,,,
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,-1.0128488521435248,0.4318564205214742,-2.345337024098176,
2020-03-26,-0.8465188041059374,0.442340371744649,-1.9137272068727416,
2020-03-27,-0.9420323069015301,0.4452006640343729,-2.115972376062759,
2020-03-30,-0.8656902872594251,0.4472687145571538,-1.9355037790124794,
2020-03-31,-0.9258493446207587,0.44740716309106293,-2.069366387038189,
2020-04-01,-1.077927282757701,0.45190403171829485,-2.385301318642921,
2020-04-02,-1.0389186652332338,0.4528973422248754,-2.2939385339059544,
2020-04-03,-1.097815631493222,0.4537714273940647,-2.419314141918979,
2020-04-06,-0.8589592558413441,0.47352188097791903,-1.8139800721931127,
2020-04-07,-0.8442851737470244,0.473826166670377,-1.7818458184356916,
2020-04-08,-0.7067346162551827,0.4798732215868412,-1.4727527698214915,
