date,equity
2005-02-25,100000.0
2005-02-28,98590.757004
2005-03-01,99251.695076
2005-03-02,98913.65204
2005-03-03,98943.771238
2005-03-04,99790.243792
2005-03-07,99804.18069
2005-03-08,99179.471708
2005-03-09,98328.851194
2005-03-10,97803.967086
2005-03-11,97747.675168
2005-03-14,98136.694416
2005-03-15,97873.067222
2005-03-16,97287.345436
2005-03-17,97621.536334
2005-03-18,97217.72131
2005-03-21,96978.125448
2005-03-22,96556.906278
2005-03-23,95822.264866
2005-03-24,96118.011138
2005-03-28,95926.573244
2005-03-29,94592.706106
2005-03-30,95647.17205
2005-03-31,95969.332802
2005-04-01,95596.178776
2005-04-04,95297.000484
2005-04-05,95542.883595
2005-04-06,95741.611485
2005-04-07,96225.342853
2005-04-08,95317.196327
2005-04-11,94996.340432
2005-04-12,95494.877951
2005-04-13,94362.418124
2005-04-14,92916.70669
2005-04-15,91474.303297
2005-04-18,91797.321295
2005-04-19,93232.881654
2005-04-20,92227.867785
2005-04-21,93772.550225
2005-04-22,92658.25204
2005-04-25,93552.948061
2005-04-26,92712.134882
2005-04-27,92643.052564
2005-04-28,91502.187052
2005-04-29,92025.66744
2005-05-02,92642.047795
2005-05-03,92161.763005
2005-05-04,93419.247351
2005-05-05,93548.724371
2005-05-06,93849.090623
2005-05-09,94717.733759
2005-05-10,93898.694231
2005-05-11,94000.529513
2005-05-12,92859.502361
2005-05-13,92386.287851
2005-05-16,93372.348001
2005-05-17,93887.283321
2005-05-18,95397.382101
2005-05-19,95843.076825
2005-05-20,95766.350279
2005-05-23,96356.963065
2005-05-24,96323.873491
2005-05-25,95618.278015
2005-05-26,96581.130359
2005-05-27,96921.176197
2005-05-31,96917.417823
2005-06-01,97676.342051
2005-06-02,97635.395307
2005-06-03,97152.242033
2005-06-06,97403.686689
2005-06-07,97402.861695
2005-06-08,97032.709461
2005-06-09,97580.816944
2005-06-10,97643.796811
2005-06-13,98078.822683
2005-06-14,98515.625049
2005-06-15,98855.675439
2005-06-16,99703.505275
2005-06-17,99789.354079
2005-06-20,99373.521521
2005-06-21,99324.077484
2005-06-22,99628.922741
2005-06-23,98515.974761
2005-06-24,97886.415184
2005-06-27,97643.935408
2005-06-28,99003.878051
2005-06-29,99296.120018
2005-06-30,99004.137347
2005-07-01,99441.370701
2005-07-04,99030.101701
2005-07-05,99920.558071
2005-07-06,99687.426215
2005-07-07,99915.010777
2005-07-08,101468.96839
2005-07-11,102725.358756
2005-07-12,102877.126987
2005-07-13,102642.182999
2005-07-14,102229.625237
2005-07-15,102466.863432
2005-07-18,102104.850998
2005-07-19,103274.846769
2005-07-20,104289.436731
2005-07-21,103374.431465
2005-07-22,104303.102073
2005-07-25,103683.835794
2005-07-26,104041.110036
2005-07-27,104324.487965
2005-07-28,105469.57411
2005-07-29,105388.632176
2005-08-01,105747.853184
2005-08-02,106118.044508
2005-08-03,105938.366126
2005-08-04,104749.603867
2005-08-05,103660.515716
2005-08-08,103169.519579
2005-08-09,103373.234073
2005-08-10,103277.068049
2005-08-11,104131.649111
2005-08-12,103463.524351
2005-08-15,104000.744516
2005-08-16,102856.002301
2005-08-17,102855.412042
2005-08-18,102289.662124
2005-08-19,102423.18369
2005-08-22,102917.231967
2005-08-23,102656.037129
2005-08-24,102467.565995
2005-08-25,102871.353981
2005-08-26,102025.587789
2005-08-29,102666.525734
2005-08-30,102480.188596
2005-08-31,104100.803563
2005-09-01,104401.924318
2005-09-02,103568.868702
2005-09-05,103568.868702
2005-09-06,104746.941802
2005-09-07,105074.608916
2005-09-08,104858.905002
2005-09-09,105550.228564
2005-09-12,105977.137084
2005-09-13,105256.76446
2005-09-14,104642.024356
2005-09-15,104495.06543
2005-09-16,105275.907148
2005-09-19,104651.35265
2005-09-20,103880.951354
2005-09-21,102790.379124
2005-09-22,102837.052032
2005-09-23,103509.79503
2005-09-26,104116.3926
2005-09-27,104073.517268
2005-09-28,103853.444224
2005-09-29,104891.36747
2005-09-30,105410.01282
2005-10-03,105814.43106
2005-10-04,104690.107944
2005-10-05,102591.807
2005-10-06,101844.548272
2005-10-07,102588.37223
2005-10-10,101902.12468
2005-10-11,101210.651138
2005-10-12,99942.965938
2005-10-13,99960.36188
2005-10-14,101023.963828
2005-10-17,101207.271412
2005-10-18,100240.434728
2005-10-19,101538.769048
2005-10-20,100355.171414
2005-10-21,100974.897892
2005-10-24,102629.273142
2005-10-25,102330.838022
2005-10-26,101811.9786
2005-10-27,100109.38734
2005-10-28,101380.476594
2005-10-31,102798.8119
2005-11-01,102571.261878
2005-11-02,103745.161218
2005-11-03,104158.53338
2005-11-04,104196.086582
2005-11-07,104680.908204
2005-11-08,104067.758006
2005-11-09,104548.596696
2005-11-10,105204.387086
2005-11-11,105628.142134
2005-11-14,105411.737794
2005-11-15,104537.115294
2005-11-16,104468.397814
2005-11-17,105885.905676
2005-11-18,106466.843126
2005-11-21,107313.95472
2005-11-22,107720.281326
2005-11-23,107952.007556
2005-11-24,107952.007556
2005-11-25,108168.23702
2005-11-28,106814.899152
2005-11-29,107144.40583
2005-11-30,107469.417214
2005-12-01,109141.503148
2005-12-02,108793.479137
2005-12-05,108479.931323
2005-12-06,108721.094204
2005-12-07,108206.687232
2005-12-08,108416.27849
2005-12-09,108894.592114
2005-12-12,109268.710774
2005-12-13,109253.41586
2005-12-14,109410.456481
2005-12-15,108793.291647
2005-12-16,108708.496836
2005-12-19,107586.806692
2005-12-20,107575.467413
2005-12-21,108341.09567
2005-12-22,108888.969779
2005-12-23,109293.619827
2005-12-27,108237.716992
2005-12-28,108623.517954
2005-12-29,108606.341391
2005-12-30,108122.925113
2006-01-03,109756.395044
2006-01-04,110170.599154
2006-01-05,110484.252014
2006-01-06,111576.435319
2006-01-09,112585.91395
2006-01-10,113103.705284
2006-01-11,113300.170558
2006-01-12,112724.073373
2006-01-13,112880.343425
2006-01-16,112880.343425
2006-01-17,112354.197778
2006-01-18,112264.44899
2006-01-19,113589.028744
2006-01-20,112261.457548
2006-01-23,112670.502518
2006-01-24,113940.019592
2006-01-25,114071.100121
2006-01-26,115453.313451
2006-01-27,115913.058962
2006-01-30,115913.819323
2006-01-31,116223.617393
2006-02-01,116492.366413
2006-02-02,115176.173005
2006-02-03,114895.460757
2006-02-06,115323.478057
2006-02-07,114128.105871
2006-02-08,114493.921523
2006-02-09,114568.928561
2006-02-10,114457.484601
2006-02-13,113720.954299
2006-02-14,114750.894131
2006-02-15,115527.094995
2006-02-16,116413.086459
2006-02-17,116422.149201
2006-02-20,116422.149201
2006-02-21,116074.581235
2006-02-22,116838.689629
2006-02-23,116728.148099
2006-02-24,117252.177421
2006-02-27,117601.651159
2006-02-28,116597.529501
2006-03-01,118082.478679
2006-03-02,117741.997267
2006-03-03,117397.287167
2006-03-06,116652.071535
2006-03-07,115381.1883
2006-03-08,115263.747329
2006-03-09,114989.239493
2006-03-10,115969.745538
2006-03-13,116232.949146
2006-03-14,117250.963259
2006-03-15,118076.432072
2006-03-16,118219.086002
2006-03-17,118468.507434
2006-03-20,118592.302655
2006-03-21,117615.48126
2006-03-22,118553.821827
2006-03-23,118759.513805
2006-03-24,119510.228105
2006-03-27,119694.612412
2006-03-28,119315.550583
2006-03-29,120757.322581
2006-03-30,120814.769513
2006-03-31,121133.675368
2006-04-03,120722.539715
2006-04-04,120637.451358
2006-04-05,121223.907271
2006-04-06,121273.709171
2006-04-07,120257.177685
2006-04-10,119836.551167
2006-04-11,118503.411637
2006-04-12,118991.975812
2006-04-13,119357.827376
