date,rolling_return_annual,rolling_volatility_annual,rolling_sharpe,rolling_max_drawdown
2005-02-25,,,,
2005-02-28,,,,
2005-03-01,,,,
2005-03-02,,,,
2005-03-03,,,,
2005-03-04,,,,
2005-03-07,,,,
2005-03-08,,,,
2005-03-09,,,,
2005-03-10,,,,
2005-03-11,,,,
2005-03-14,,,,
2005-03-15,,,,
2005-03-16,,,,
2005-03-17,,,,
2005-03-18,,,,
2005-03-21,,,,
2005-03-22,,,,
2005-03-23,,,,
2005-03-24,,,,
2005-03-28,,,,
2005-03-29,,,,
2005-03-30,,,,
2005-03-31,,,,
2005-04-01,,,,
2005-04-04,,,,
2005-04-05,,,,
2005-04-06,,,,
2005-04-07,,,,
2005-04-08,,,,
2005-04-11,,,,
2005-04-12,,,,
2005-04-13,,,,
2005-04-14,,,,
2005-04-15,,,,
2005-04-18,,,,
2005-04-19,,,,
2005-04-20,,,,
2005-04-21,,,,
2005-04-22,,,,
2005-04-25,,,,
2005-04-26,,,,
2005-04-27,,,,
2005-04-28,,,,
2005-04-29,,,,
2005-05-02,,,,
2005-05-03,,,,
2005-05-04,,,,
2005-05-05,,,,
2005-05-06,,,,
2005-05-09,,,,
2005-05-10,,,,
2005-05-11,,,,
2005-05-12,,,,
2005-05-13,,,,
2005-05-16,,,,
2005-05-17,,,,
2005-05-18,,,,
2005-05-19,,,,
2005-05-20,,,,
2005-05-23,-0.14743481113553183,0.13055716254193767,-1.1292740150366911,
2005-05-24,-0.08968891114609155,0.12748604360739227,-0.7035194489390441,
2005-05-25,-0.14861110662302296,0.12740981909745155,-1.1664023045928293,
2005-05-26,-0.09201329690354455,0.1291192157565838,-0.7126227987397978,
2005-05-27,-0.07850470630999659,0.12935848709870046,-0.6068771216387027,
2005-05-31,-0.11459893705353172,0.1280347270556162,-0.8950613609989719,
2005-06-01,-0.08229688032443438,0.12915253842452512,-0.6372068356405359,
2005-06-02,-0.05776829895941937,0.1285599104294459,-0.44934924710547935,
2005-06-03,-0.04253056416379693,0.1277663210786251,-0.3328777396480281,
2005-06-06,-0.009240529902632154,0.12742877262227129,-0.0725152546985856,
2005-06-07,-0.006858756970219471,0.12742382914208347,-0.05382632915992219,
2005-06-08,-0.03953496905935703,0.12737639498787753,-0.310379086039604,
2005-06-09,-0.004527909339833713,0.1278140527318411,-0.035425755173677534,
2005-06-10,0.023317740460777305,0.12721293296597713,0.18329693308001627,
2005-06-13,0.027602336554297405,0.1273445315977861,0.21675321435457126,
2005-06-14,0.06368084548980156,0.12733802199887004,0.5000929376016744,
2005-06-15,0.08852917676023475,0.12737603862315813,0.6950222170289675,
2005-06-16,0.14279269729336694,0.12809211726598635,1.1147656884838157,
2005-06-17,0.17836425573190776,0.1269543512119112,1.4049479519940482,
2005-06-20,0.14789952238543855,0.12724385898517962,1.1623313185013098,
2005-06-21,0.15417490581117002,0.12715134295001496,1.2125306916481284,
2005-06-22,0.22546689355385335,0.12358250622104328,1.8244240260880993,
2005-06-23,0.13172975406031182,0.12413700210379816,1.0611642929008782,
2005-06-24,0.09074341674495551,0.12479087062030515,0.7271639046501719,
2005-06-27,0.09667007323424302,0.1246190753522912,0.7757245266100883,
2005-06-28,0.16831020439435487,0.12743620274760487,1.3207408943885706,
2005-06-29,0.1698711201902241,0.1274622959020873,1.33271662014243,
2005-06-30,0.14878497489647657,0.12764092365150964,1.1656526029433574,
2005-07-01,0.14611313057936193,0.12755256622641056,1.1455130610230584,
2005-07-04,0.16838116333263542,0.12623001885905533,1.3339233001354835,
2005-07-05,0.22028461985882822,0.1270808602774005,1.7334209052250384,
2005-07-06,0.18844384195683783,0.12691604239085552,1.4847913503046284,
2005-07-07,0.2478395520810795,0.12419622488232063,1.9955481925148237,
2005-07-08,0.37750881287636173,0.12299616261337656,3.0692730964543555,
2005-07-11,0.4947124716285382,0.11975419644880013,4.131065852377443,
2005-07-12,0.48608640382885343,0.1197132926430725,4.06042130407464,
2005-07-13,0.4108135725482175,0.11653943370879447,3.525103559150177,
2005-07-14,0.43920653516993163,0.11426607242904238,3.843717788083359,
2005-07-15,0.3786093427164548,0.1099163327148891,3.4445230600854004,
2005-07-18,0.41367941935520236,0.1068628498919482,3.8711247152166006,
2005-07-19,0.42125159047832944,0.1075023197313896,3.9185348886506697,
2005-07-20,0.5002608890941715,0.1064431824932385,4.699792672263902,
2005-07-21,0.4665408409531379,0.108573141879127,4.297018884030559,
2005-07-22,0.555993274190508,0.10543236272267881,5.27345930445427,
2005-07-25,0.5070290850457763,0.10647440115158753,4.76198109181116,
2005-07-26,0.49337020980044605,0.1060709220120922,4.651323854281207,
2005-07-27,0.5265838847124679,0.10502962042363163,5.013670263574395,
2005-07-28,0.5153777795893657,0.10391229380411009,4.9597382631253275,
2005-07-29,0.506333409564558,0.10406424375571348,4.865584866528745,
2005-08-01,0.507163902855295,0.1040747837668366,4.873071886380441,
2005-08-02,0.48299271164162677,0.10302707960593312,4.688017106657969,
2005-08-03,0.5121993767244775,0.10094630206350842,5.073978603022398,
2005-08-04,0.4605150764020865,0.10452668403099061,4.405717838189056,
2005-08-05,0.4678291920468914,0.1035895986083225,4.5161792142450246,
2005-08-08,0.4693388761249451,0.10348912823281546,4.535151509529501,
2005-08-09,0.43280446336889905,0.10184839590295744,4.249497103334658,
2005-08-10,0.405734881331726,0.10167837236233115,3.990375454535097,
2005-08-11,0.3729348868079036,0.09812771836035121,3.8005050258927557,
2005-08-12,0.32636471870207157,0.0992122715360487,3.2895599873800614,-4.233649720999995
2005-08-15,0.35153492529765407,0.09943155432196187,3.535446344923616,-4.194115563156366
2005-08-16,0.2794029303202511,0.10210444245369776,2.7364424466345283,-4.194115563156366
2005-08-17,0.2808211336530441,0.10208627408344657,2.750821657214147,-4.194115563156366
2005-08-18,0.2884852972685084,0.10150879373216207,2.841973455321484,-3.6076639008471343
2005-08-19,0.2516747168116073,0.09979206096881975,2.5219913725425878,-3.6076639008471343
2005-08-22,0.2571463387352247,0.09996825333787937,2.572280000392768,-3.6076639008471343
2005-08-23,0.246649976035496,0.10021225399806875,2.4612756044809583,-3.6076639008471343
2005-08-24,0.20605035809542152,0.0993436438114628,2.0741171774056304,-3.6076639008471343
2005-08-25,0.22436172947944058,0.09951346205716781,2.254586714615062,-3.6076639008471343
2005-08-26,0.21061494197795724,0.10055433993024246,2.0945385562081866,-3.8565135062317206
2005-08-29,0.226129651982051,0.10111272496226133,2.2364114117827425,-3.8565135062317206
2005-08-30,0.2185423319432165,0.10124953327113044,2.1584527343745306,-3.8565135062317206
2005-08-31,0.3009217769220828,0.10528643359260204,2.8581248946704476,-3.8565135062317206
2005-09-01,0.28934615852434975,0.10493931716659806,2.757271214801157,-3.8565135062317206
2005-09-02,0.2531223125826053,0.10659138860103803,2.374697580214658,-3.8565135062317206
2005-09-05,0.23441033371582073,0.10636615853909068,2.2038055800395617,-3.8565135062317206
2005-09-06,0.2634793531864513,0.1082740349911412,2.433449101698378,-3.8565135062317206
2005-09-07,0.26212039136281323,0.10824534947548073,2.4215395177063717,-3.8565135062317206
2005-09-08,0.21747731043809523,0.1072720383637489,2.0273438796851337,-3.8565135062317206
2005-09-09,0.24155108976764997,0.10791284161287573,2.2383905952007574,-3.8565135062317206
2005-09-12,0.2760402467121121,0.10755856849659597,2.566418004353119,-3.8565135062317206
2005-09-13,0.24958076409008856,0.10872563384211592,2.2955098560520972,-3.8565135062317206
2005-09-14,0.21216051259491128,0.10952829360534676,1.9370384182133775,-3.8565135062317206
2005-09-15,0.2531799628406403,0.1067466213149392,2.3717843218069867,-3.8565135062317206
2005-09-16,0.3114043687716472,0.10642488148026967,2.926048537149455,-3.8565135062317206
2005-09-19,0.2968917111525147,0.10717274196218879,2.77021662147321,-3.8565135062317206
2005-09-20,0.2074772056403951,0.10521856331736348,1.971868832827492,-3.8565135062317206
2005-09-21,0.15098673419432254,0.1076391808038277,1.4027116619318734,-3.8565135062317206
2005-09-22,0.16524398524096054,0.10738690701841891,1.5387721820930929,-3.8565135062317206
2005-09-23,0.17417117244817923,0.10779240978757107,1.6158018249283255,-3.8565135062317206
2005-09-26,0.21615473044159147,0.10782717770682183,2.0046405279131787,-3.8565135062317206
2005-09-27,0.17665970827577826,0.10651149397264012,1.6585976000032192,-3.8565135062317206
2005-09-28,0.17757774391380604,0.10648583744393715,1.6676184192785024,-3.8565135062317206
2005-09-29,0.20996450334402667,0.10813388697613405,1.941708646710974,-3.8565135062317206
2005-09-30,0.1654100669173644,0.10407546017039841,1.5893282301759262,-3.8565135062317206
2005-10-03,0.1295194077679226,0.10140243860887181,1.277280995849648,-3.8565135062317206
2005-10-04,0.07868747709592581,0.10391369965094623,0.7572387217493252,-3.8565135062317206
2005-10-05,0.0040986756261198526,0.11187727209092119,0.036635462677253275,-3.8565135062317206
2005-10-06,-0.009611917014345873,0.1125780572618761,-0.08538002207647699,-4.027115516322803
2005-10-07,0.01131618828329355,0.11348349817956774,0.09971659725705376,-4.027115516322803
2005-10-10,-0.0019405234872674536,0.11409126561087651,-0.01700851924884301,-4.027115516322803
2005-10-11,-0.07856713520125565,0.11237334354596042,-0.6991616759104607,-4.624466454081754
2005-10-12,-0.17243456625299,0.11309520451877018,-1.5246850384745658,-5.819065549718537
2005-10-13,-0.1348539380632804,0.11184127073442086,-1.2057618549730678,-5.819065549718537
2005-10-14,-0.127895902514367,0.11249313328369658,-1.136921861637778,-5.819065549718537
2005-10-17,-0.09533886358213828,0.11201579020229623,-0.8511198591730679,-5.819065549718537
2005-10-18,-0.14993399328572848,0.11328095714560085,-1.3235586727345288,-5.819065549718537
2005-10-19,-0.10697433325726136,0.11645582832756488,-0.9185829064421392,-5.819065549718537
2005-10-20,-0.2020321150524855,0.11622907361502761,-1.7382235680691527,-5.819065549718537
2005-10-21,-0.1728724591347703,0.11710541850775773,-1.476212299461773,-5.819065549718537
2005-10-24,-0.1183754078349185,0.12196167232715652,-0.9705951515438552,-5.819065549718537
2005-10-25,-0.1452914982249281,0.12177759878605297,-1.1930888740891163,-5.819065549718537
2005-10-26,-0.15947581239824718,0.1221061076807484,-1.3060428788312823,-5.819065549718537
2005-10-27,-0.18258267673457632,0.12463808113151761,-1.4649028216497957,-5.819065549718537
2005-10-28,-0.08558760010040657,0.12596223178333174,-0.6794703371692098,-5.819065549718537
2005-10-31,-0.006935042156824899,0.12898065559324814,-0.05376807960020893,-5.819065549718537
2005-11-01,-0.024525095945678133,0.12898857064244423,-0.1901338686329163,-5.819065549718537
2005-11-02,0.027449901588686012,0.13112279889498177,0.2093449943107991,-5.819065549718537
2005-11-03,0.009431275582688569,0.13027368638332826,0.07239586016578352,-5.819065549718537
2005-11-04,0.03789338826255068,0.1295782419692301,0.29243635109317906,-5.819065549718537
2005-11-07,0.035627952487332325,0.12949328526063017,0.2751335902523765,-5.819065549718537
2005-11-08,0.0572568266994846,0.12802134057005907,0.44724439257180776,-5.819065549718537
2005-11-09,0.07668677148639123,0.1283360597640806,0.5975465635096173,-5.819065549718537
2005-11-10,0.12613348951276185,0.12832965486048678,0.9828865327338994,-5.819065549718537
2005-11-11,0.13756838338145855,0.12852373482524818,1.0703733716461652,-5.819065549718537
2005-11-14,0.1087045735832043,0.12831829875486286,0.8471478708650253,-5.819065549718537
2005-11-15,0.08451555321895983,0.12942557707418206,0.6530050329272905,-5.819065549718537
2005-11-16,0.08946566403400748,0.12936364722032204,0.6915827278867344,-5.819065549718537
2005-11-17,0.12990381000241824,0.13198183081405884,0.9842552509021625,-5.819065549718537
2005-11-18,0.18747757096041595,0.13109279867589732,1.4301134223544922,-5.819065549718537
2005-11-21,0.1945102492356047,0.1314393941595621,1.479847426864104,-5.819065549718537
2005-11-22,0.21803575052804217,0.1314698123952782,1.6584472629541307,-5.819065549718537
2005-11-23,0.1606522026591108,0.12776396173508037,1.257414066356399,-5.819065549718537
2005-11-24,0.14850333225932888,0.12768339579102514,1.163059075452371,-5.819065549718537
2005-11-25,0.19042910819055425,0.12645511921364186,1.5059027216512317,-5.819065549718537
2005-11-28,0.13788115879068494,0.12934106252094763,1.066027726255567,-5.819065549718537
