date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2005-02-25,1006.48,1006.48,forced,962,100000.0,100.64800000000001
2005-03-01,197.91,1204.39,scheduled,197,99251.695076,19.940213600226613
2005-04-01,409.92,1614.3100000000002,scheduled,407,95596.178776,42.880375057722794
2005-05-02,487.34,2101.65,scheduled,484,92642.047795,52.60462301938691
2005-06-01,412.05,2513.7000000000003,scheduled,409,97676.342051,42.18524069880251
2005-07-01,410.96,2924.6600000000003,scheduled,408,99441.370701,41.326863970497065
2005-08-01,416.35,3341.01,scheduled,413,105747.853184,39.371957677056194
2005-09-01,419.21,3760.2200000000003,scheduled,416,104401.924318,40.1534744439307
2005-10-03,387.85,4148.070000000001,scheduled,385,105814.43106,36.65379061387924
2005-11-01,453.62,4601.6900000000005,scheduled,450,102571.261878,44.22486295815911
2005-12-01,402.1,5003.790000000001,scheduled,399,109141.503148,36.84208008888582
2006-01-03,377.88,5381.670000000001,scheduled,375,109756.395044,34.428973350346695
2006-02-01,443.95,5825.620000000001,scheduled,440,116492.366413,38.10979325684445
2006-03-01,362.23,6187.85,scheduled,359,118082.478679,30.67601595531375
2006-04-03,384.51,6572.360000000001,scheduled,381,120722.539715,31.85072157260322
2006-05-01,439.18,7011.540000000001,scheduled,435,121835.747301,36.04689179728086
2006-06-01,435.95,7447.490000000001,scheduled,432,118558.606411,36.77084382121685
2006-07-03,415.34,7862.830000000001,scheduled,412,117182.415575,35.44388447379042
2006-08-01,495.43,8358.26,scheduled,491,111982.830907,44.24160346611053
2006-09-01,428.73,8786.99,scheduled,425,115329.839932,37.17424738062455
2006-10-02,389.08,9176.07,scheduled,386,115527.106245,33.67867616928554
2006-11-01,378.09,9554.16,scheduled,375,120399.03617200001,31.40307530866502
2006-12-01,353.25,9907.41,scheduled,350,125116.153836,28.23376431975632
2007-01-02,335.88,10243.289999999999,scheduled,333,126463.144666,26.559516678719945
2007-02-01,419.01,10662.3,scheduled,415,130666.323336,32.06717609422153
