date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2006-02-17,182.3,182.3,forced,102,100000.0,18.23
2006-03-01,163.76,346.06,scheduled,96,101736.165376,16.09653748937462
2006-04-03,220.75,566.81,scheduled,87,105663.313662,20.891830130005566
2006-05-01,284.89,851.6999999999999,scheduled,96,106873.117904,26.656843702820172
2006-06-01,310.95,1162.6499999999999,scheduled,100,102337.019914,30.384898862729255
2006-07-03,343.14,1505.79,scheduled,98,101076.05386,33.94869377026548
2006-08-01,345.26,1851.05,scheduled,93,97694.979553,35.34060824616835
2006-09-01,389.82,2240.87,scheduled,86,100602.238096,38.74864092268137
2006-10-02,395.37,2636.24,scheduled,78,100671.50972,39.273276133401765
2006-11-01,421.71,3057.95,scheduled,72,104697.14610499999,40.279034881912644
2006-12-01,450.45,3508.3999999999996,scheduled,50,109203.547167,41.248660110934615
2007-01-02,460.61,3969.0099999999998,scheduled,45,110585.563335,41.651910620978704
2007-02-01,473.83,4442.84,scheduled,31,115918.117485,40.876267686223805
2007-03-01,472.23,4915.07,scheduled,34,112333.306893,42.03828882646619
2007-04-02,507.66,5422.73,scheduled,31,114745.709211,44.24217720128342
2007-05-01,504.94,5927.669999999999,scheduled,22,115744.590793,43.6253648261667
2007-06-01,522.52,6450.189999999999,scheduled,20,121232.395393,43.10069089257396
2007-07-02,528.89,6979.079999999999,scheduled,7,120971.281033,43.72029422881973
2007-08-01,526.02,7505.0999999999985,scheduled,3,113776.872003,46.23259461607717
2007-09-03,540.52,8045.619999999999,scheduled,3,116170.314963,46.528237456544254
2007-10-01,544.33,8589.949999999999,scheduled,3,123317.603893,44.140494367073764
2007-11-01,530.58,9120.529999999999,scheduled,5,121684.565343,43.60290054078926
2007-12-03,507.39,9627.919999999998,scheduled,3,118697.818933,42.7463625331145
2008-01-02,506.89,10134.809999999998,scheduled,4,115748.580413,43.792329736691094
2008-02-01,512.31,10647.119999999997,scheduled,1,112436.379633,45.564434009011556
2008-03-03,501.23,11148.349999999997,scheduled,2,108531.850123,46.182756438036584
2008-04-01,507.49,11655.839999999997,scheduled,6,111151.463873,45.657518337306875
2008-05-01,509.85,12165.689999999997,scheduled,5,115944.752213,43.97352965689761
2008-06-02,518.1,12683.789999999997,scheduled,3,118123.450033,43.86089297724195
2008-07-01,513.48,13197.269999999997,scheduled,1,109916.579933,46.715427309782875
2008-08-01,512.18,13709.449999999997,scheduled,4,108937.571893,47.015918484310475
2008-09-01,527.44,14236.889999999998,scheduled,1,111447.365893,47.326376516282345
2008-10-01,489.79,14726.679999999998,scheduled,2,97196.058073,50.39196133161477
