date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2006-02-17,1001.76,1001.76,forced,959,100000.0,100.176
2006-03-01,230.47,1232.23,scheduled,229,100133.428704,23.01628966299378
2006-04-03,369.9,1602.13,scheduled,367,101911.144186,36.29632489699932
2006-05-01,394.19,1996.3200000000002,scheduled,391,102276.26302,38.54168976851614
2006-06-01,408.08,2404.4,scheduled,405,100151.9588,40.74608274161883
2006-07-03,359.72,2764.12,scheduled,357,99363.200564,36.202537554967726
2006-08-01,429.38,3193.5,scheduled,426,96236.212134,44.61730054401229
2006-09-01,400.82,3594.32,scheduled,398,98912.445933,40.52270634086859
2006-10-02,367.72,3962.04,scheduled,365,99273.971701,37.04092761670942
2006-11-01,391.08,4353.12,scheduled,388,102659.387505,38.09490875648878
2006-12-01,362.07,4715.19,scheduled,359,106103.177201,34.1243315753025
2007-01-02,311.71,5026.9,scheduled,309,107053.405192,29.11724287900501
2007-02-01,364.16,5391.0599999999995,scheduled,361,110011.878202,33.10188008347081
2007-03-01,327.89,5718.95,scheduled,325,108293.150156,30.277999996090532
2007-04-02,368.21,6087.16,scheduled,365,109610.08558,33.59271166075847
2007-05-01,348.03,6435.19,scheduled,345,111720.951938,31.151721674654247
2007-06-01,350.31,6785.5,scheduled,347,115325.487408,30.375765832288984
2007-07-02,340.1,7125.6,scheduled,337,113917.303922,29.854990268455524
2007-08-01,430.03,7555.63,scheduled,426,108277.623926,39.71550024905374
2007-09-03,484.44,8040.07,scheduled,479,109414.553746,44.275645553022265
2007-10-01,412.13,8452.199999999999,scheduled,408,113384.461828,36.34801394790636
2007-11-01,433.45,8885.65,scheduled,429,111287.506114,38.948666848189156
2007-12-03,471.96,9357.609999999999,scheduled,467,107449.056846,43.92407098337127
2008-01-02,427.94,9785.55,scheduled,424,106294.614334,40.25980080752941
2008-02-01,515.31,10300.859999999999,scheduled,510,104130.677274,49.486857618726525
2008-03-03,491.67,10792.529999999999,scheduled,487,100005.85903,49.16411945949164
2008-04-01,436.85,11229.38,scheduled,433,102451.988716,42.63948464787359
2008-05-01,444.96,11674.339999999998,scheduled,441,105208.549264,42.293140919894356
2008-06-02,450.19,12124.529999999999,scheduled,446,105619.986866,42.62356144497117
2008-07-01,448.89,12573.419999999998,scheduled,445,97524.56116,46.02840501517824
2008-08-01,531.15,13104.569999999998,scheduled,526,98995.888878,53.653743202869336
2008-09-01,417.6,13522.169999999998,scheduled,414,101276.149338,41.23379519557934
2008-10-01,569.38,14091.549999999997,scheduled,564,92423.706616,61.60540632347149
2008-11-03,665.26,14756.809999999998,scheduled,659,76511.338608,86.94920414455284
2008-12-01,632.04,15388.849999999999,scheduled,628,61871.981144,102.15286278436741
2009-01-02,638.83,16027.679999999998,scheduled,634,73725.246648,86.65010007359942
2009-02-02,592.6,16620.28,scheduled,589,67236.87231,88.13616392918738
2009-03-02,576.9,17197.18,scheduled,574,56988.258542,101.23137901728093
