date,equity
2021-01-04,100000.0
2021-01-05,100470.44928
2021-01-06,102780.91051
2021-01-07,103574.06671
2021-01-08,103281.8716
2021-01-11,103241.28646
2021-01-12,104460.88632
2021-01-13,104147.61002
2021-01-14,105439.03795
2021-01-15,104648.46671
2021-01-18,104649.13301
2021-01-19,105394.17744
2021-01-20,105652.17894
2021-01-21,105129.78282
2021-01-22,105642.21075
2021-01-25,105900.41177
2021-01-26,106091.87508
2021-01-27,106146.4286
2021-01-28,105090.40911
2021-01-29,104518.95006
2021-02-01,105501.04977
2021-02-02,106050.61093
2021-02-03,106597.97973
2021-02-04,107746.01452
2021-02-05,108528.11233
2021-02-08,110120.76218
2021-02-09,110237.3659
2021-02-10,110330.21226
2021-02-11,110662.19051
2021-02-12,111147.22711
2021-02-15,111155.98871
2021-02-16,111590.40426
2021-02-17,111190.79815
2021-02-18,110088.16913
2021-02-19,111277.3171
2021-02-22,111515.034978
2021-02-23,111275.026577
2021-02-24,112903.139193
2021-02-25,110887.592426
2021-02-26,110260.32717
2021-03-01,112279.058164
2021-03-02,111331.931734
2021-03-03,111255.341004
2021-03-04,109994.876594
2021-03-05,111564.857894
2021-03-08,112347.281819
2021-03-09,112932.223859
2021-03-10,114101.204764
2021-03-11,115080.018454
2021-03-12,115691.555359
2021-03-15,116251.026534
2021-03-16,115268.362834
2021-03-17,115764.661864
2021-03-18,114267.536294
2021-03-19,114564.517239
2021-03-22,113944.128219
2021-03-23,111738.528464
2021-03-24,111085.681854
2021-03-25,112441.853499
2021-03-26,113946.779204
2021-03-29,112640.426114
2021-03-30,113382.438119
2021-03-31,113609.235329
2021-04-01,114725.042574
2021-04-05,115026.938144
2021-04-06,115016.066794
2021-04-07,114448.143754
2021-04-08,114745.026074
2021-04-09,114868.282644
2021-04-12,114748.387274
2021-04-13,114524.181354
2021-04-14,114970.711594
2021-04-15,115331.989074
2021-04-16,115612.583744
2021-04-19,115043.639314
2021-04-20,113920.242414
2021-04-21,115193.260084
2021-04-22,114829.725344
2021-04-23,115936.081844
2021-04-26,116565.982924
2021-04-27,116531.895344
2021-04-28,116792.601914
2021-04-29,116811.249554
2021-04-30,115957.887484
2021-05-03,116758.441894
2021-05-04,116098.169554
2021-05-05,116259.939614
2021-05-06,116618.731954
2021-05-07,117728.687574
2021-05-10,116741.792424
2021-05-11,116196.761814
2021-05-12,114287.336364
2021-05-13,115281.641914
2021-05-14,116830.593204
2021-05-17,117226.691374
2021-05-18,116640.237584
2021-05-19,116006.336614
2021-05-20,116379.586214
2021-05-21,116507.271304
2021-05-24,116928.465214
2021-05-25,116083.895864
2021-05-26,117072.898124
2021-05-27,117848.979754
2021-05-28,117839.953734
2021-06-01,118869.029654
2021-06-02,118770.270614
2021-06-03,118331.637704
2021-06-04,118733.231104
2021-06-07,119027.78462399999
2021-06-08,119651.202724
2021-06-09,119303.277344
2021-06-10,119058.673094
2021-06-11,119563.016404
2021-06-14,119239.306394
2021-06-15,119100.823464
2021-06-16,118762.763944
2021-06-17,117510.662644
2021-06-18,115883.892844
2021-06-21,117287.220704
2021-06-22,117392.771874
2021-06-23,117590.294374
2021-06-24,118497.051604
2021-06-25,118703.462324
2021-06-28,118029.994404
2021-06-29,117840.782324
