date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2021-12-23,172.32,172.32,forced,95,100000.0,17.232
2022-01-03,151.19,323.51,scheduled,66,101202.66491,14.939329921248019
2022-02-01,220.1,543.61,scheduled,71,96623.7056,22.77908910999166
2022-03-01,259.03,802.64,scheduled,70,94550.18389,27.39603344413971
2022-04-01,262.62,1065.26,scheduled,86,98015.04917,26.793844641602398
2022-05-02,285.19,1350.45,scheduled,88,91553.39577,31.150128032001447
2022-06-01,300.69,1651.14,scheduled,78,93296.82993,32.22939088344221
2022-07-01,318.76,1969.9,scheduled,63,87681.68966,36.354226433824856
2022-08-01,341.61,2311.51,scheduled,53,94076.09324,36.312094628388714
2022-09-01,361.86,2673.3700000000003,scheduled,43,91138.2228,39.70452669393066
2022-10-03,343.98,3017.3500000000004,scheduled,41,85802.61685,40.089686378836824
2022-11-01,364.41,3381.76,scheduled,19,90487.87256,40.27169494546022
2022-12-01,380.03,3761.79,scheduled,25,93440.51001,40.67079684810466
2023-01-03,383.51,4145.3,scheduled,21,88008.38341,43.57653045544108
2023-02-01,392.3,4537.6,scheduled,11,94220.32757,41.63645044733525
2023-03-01,399.58,4937.18,scheduled,10,92591.75262,43.15503148967178
2023-04-03,410.82,5348.0,scheduled,6,90866.32975,45.21146624170764
2023-05-01,427.02,5775.02,scheduled,10,90603.25656,47.13075624574438
2023-06-01,411.26,6186.280000000001,scheduled,9,88191.88585,46.632407963186786
2023-07-03,430.51,6616.790000000001,scheduled,7,93219.81584,46.18224098821605
2023-08-01,432.81,7049.600000000001,scheduled,7,95619.94288,45.26357023065396
2023-09-01,447.15,7496.750000000001,scheduled,7,93662.34862,47.74063501377101
2023-10-02,435.65,7932.400000000001,scheduled,4,88252.24001,49.36418610458339
2023-11-01,419.09,8351.49,scheduled,6,87478.69156,47.907666715905776
2023-12-01,436.26,8787.75,scheduled,5,93690.54012,46.56393264904149
2024-01-02,432.69,9220.44,scheduled,2,97638.00006,44.31573769783338
2024-02-01,428.05,9648.49,scheduled,2,96990.53369,44.133172972130296
2024-03-01,436.86,10085.35,scheduled,1,99705.97417,43.814826908480725
2024-04-01,445.07,10530.42,scheduled,1,101862.8976,43.69304334417442
2024-05-01,447.7,10978.12,scheduled,1,97994.10184,45.68642312074891
2024-06-03,448.55,11426.67,scheduled,1,99439.41555,45.10786769200797
2024-07-01,441.39,11868.06,scheduled,3,99381.04079,44.41390394901296
2024-08-01,455.27,12323.33,scheduled,1,105448.24314,43.174735438271235
2024-09-02,467.72,12791.05,scheduled,0,108528.49619,43.09651533189645
2024-10-01,467.41,13258.46,scheduled,3,108454.13235,43.097481845282594
2024-11-01,448.28,13706.74,scheduled,1,105534.61875,42.477056847282164
2024-12-02,472.2,14178.94,scheduled,0,114657.78034,41.183424151397624
2025-01-02,457.92,14636.86,scheduled,0,106853.915,42.85477045927611
2025-02-03,457.57,15094.43,scheduled,0,109724.03494,41.70189332266275
2025-03-03,448.72,15543.15,scheduled,0,107931.80775,41.57439862763718
2025-04-01,446.52,15989.67,scheduled,1,106660.52759,41.863659414512746
2025-05-01,456.93,16446.6,scheduled,2,104730.79739,43.62900038834508
2025-06-02,445.41,16892.01,scheduled,1,107573.06629,41.405345720948866
2025-07-01,454.73,17346.739999999998,scheduled,3,110233.08239,41.25168144996476
2025-08-01,471.59,17818.329999999998,scheduled,3,110308.99229,42.75172768872731
2025-09-01,495.66,18313.989999999998,scheduled,3,115089.06539,43.06751456538177
2025-10-01,484.53,18798.519999999997,scheduled,2,115913.20209,41.801105591388115
