date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2021-12-23,693.97,693.97,forced,667,100000.0,69.397
2022-01-03,89.11,783.08,scheduled,88,100491.35919,8.867429072336343
2022-02-01,208.51,991.59,scheduled,205,98984.13963,21.064990894440733
2022-03-01,192.92,1184.51,scheduled,190,97738.31575,19.73842075337788
2022-04-01,208.02,1392.53,scheduled,204,100672.26283,20.66308972822758
2022-05-02,206.92,1599.45,scheduled,204,96456.67595,21.45211805839759
2022-06-01,205.88,1805.33,scheduled,203,97102.14256,21.202415783234187
2022-07-01,228.95,2034.28,scheduled,226,92980.45851,24.62345353732328
2022-08-01,199.51,2233.79,scheduled,196,97152.7815,20.535696139590197
2022-09-01,223.53,2457.32,scheduled,220,94316.28576,23.70004270193602
2022-10-03,189.02,2646.34,scheduled,187,90166.163168,20.96351817120275
2022-11-01,225.08,2871.42,scheduled,222,94504.232584,23.81692267591696
2022-12-01,226.64,3098.06,scheduled,223,97799.118434,23.174033020854743
2023-01-03,171.19,3269.25,scheduled,169,94982.140274,18.02338834502562
2023-02-01,208.04,3477.29,scheduled,205,100514.116364,20.6975903013073
2023-03-01,185.37,3662.66,scheduled,183,98099.478024,18.896125008397018
2023-04-03,167.09,3829.75,scheduled,165,95964.23450400001,17.411695186609894
2023-05-01,173.11,4002.86,scheduled,171,94869.417734,18.24718693703541
2023-06-01,202.71,4205.57,scheduled,200,93702.138974,21.633444254271183
2023-07-03,202.61,4408.179999999999,scheduled,200,97087.640804,20.868773648442854
2023-08-01,161.13,4569.3099999999995,scheduled,159,98648.712054,16.333715529078365
2023-09-01,182.05,4751.36,scheduled,180,96963.353414,18.775134480210216
2023-10-02,170.19,4921.549999999999,scheduled,168,92976.909074,18.304544826774826
2023-11-01,227.07,5148.619999999999,scheduled,224,91657.912524,24.77363860327315
2023-12-01,232.5,5381.119999999999,scheduled,229,96491.418484,24.09540699606905
2024-01-02,199.64,5580.759999999999,scheduled,197,99347.481404,20.095124423754335
2024-02-01,191.76,5772.5199999999995,scheduled,189,98230.996884,19.521332988857626
2024-03-01,218.48,5990.999999999999,scheduled,215,98950.602464,22.079703868350567
2024-04-01,185.55,6176.549999999999,scheduled,183,100270.747494,18.5048984511762
2024-05-01,213.04,6389.589999999999,scheduled,210,98034.630214,21.73109640286851
2024-06-03,177.43,6567.0199999999995,scheduled,175,99464.274004,17.838565834488932
2024-07-01,155.69,6722.709999999999,scheduled,154,98089.059924,15.872310339260011
2024-08-01,208.0,6930.709999999999,scheduled,205,101175.359774,20.558365244721546
2024-09-02,179.2,7109.909999999999,scheduled,177,101888.828704,17.587796648501946
2024-10-01,173.89,7283.799999999999,scheduled,172,101988.761084,17.0499178685758
2024-11-01,214.71,7498.509999999999,scheduled,212,100966.177084,21.265537252279
2024-12-02,239.34,7737.849999999999,scheduled,235,104557.792464,22.890689862489825
2025-01-02,202.18,7940.03,scheduled,199,100821.040444,20.053353854476317
2025-02-03,176.4,8116.429999999999,scheduled,174,101191.437664,17.432304953085602
2025-03-03,229.26,8345.689999999999,scheduled,226,100194.681964,22.881453936085475
2025-04-01,218.81,8564.499999999998,scheduled,216,99177.667074,22.062426598191514
2025-05-01,227.99,8792.489999999998,scheduled,225,96739.962474,23.567302919026353
2025-06-02,239.58,9032.069999999998,scheduled,236,98174.630474,24.40345319796737
2025-07-01,200.43,9232.499999999998,scheduled,198,100377.810374,19.967560485052747
2025-08-01,195.32,9427.819999999998,scheduled,193,98707.816174,19.787693373308365
2025-09-01,197.62,9625.439999999999,scheduled,195,102290.294774,19.319525907772707
2025-10-01,226.43,9851.869999999999,scheduled,223,102765.206074,22.033722176059324
