date,equity
2020-01-01,100000.0
2020-01-02,100360.11572
2020-01-03,99833.6337
2020-01-06,99754.92696
2020-01-07,100013.77268
2020-01-08,100119.21514
2020-01-09,100367.90144
2020-01-10,99982.10968
2020-01-13,100520.12136
2020-01-14,100975.6946
2020-01-15,101092.98668
2020-01-16,101583.11818
2020-01-17,101872.83906
2020-01-20,101867.32966
2020-01-21,101634.55856
2020-01-22,101487.92864
2020-01-23,102038.19082
2020-01-24,101393.81666
2020-01-27,100011.45812
2020-01-28,100636.6223
2020-01-29,100462.00362
2020-01-30,100483.74192
2020-01-31,99109.7995
2020-02-03,99652.21178
2020-02-04,100564.54781999999
2020-02-05,101685.55408
2020-02-06,102279.04346
2020-02-07,101547.85828
2020-02-10,101880.61218
2020-02-11,102152.64216
2020-02-12,102685.27614
2020-02-13,102405.44726
2020-02-14,102128.71876
2020-02-17,102134.96756
2020-02-18,102023.14977999999
2020-02-19,102556.31172
2020-02-20,102390.96232
2020-02-21,101736.77956
2020-02-24,99322.6571
2020-02-25,96836.81008
2020-02-26,96146.00626
2020-02-27,92826.05384
2020-02-28,91670.96364
2020-03-02,94307.1779
2020-03-03,92580.91382
2020-03-04,95434.06743
2020-03-05,92997.26099
2020-03-06,91571.82316
2020-03-09,85365.29806
2020-03-10,87976.66123
2020-03-11,84141.55841
2020-03-12,76903.79568
2020-03-13,81497.35033
2020-03-16,74843.97727
2020-03-17,78152.74061
2020-03-18,74070.75019
2020-03-19,74234.17694
2020-03-20,71507.5954
2020-03-23,70028.24243
2020-03-24,75509.603
2020-03-25,76808.24195
2020-03-26,80126.63064
2020-03-27,77884.10748
2020-03-30,79238.37911
2020-03-31,78309.01049
2020-04-01,75556.07653
2020-04-02,76445.49756999999
2020-04-03,75079.6563
2020-04-06,79753.48842
2020-04-07,80393.58902
2020-04-08,83119.8739
2020-04-09,85103.46811
2020-04-10,85103.46811
2020-04-13,84120.57525
2020-04-14,85563.97979
2020-04-15,83004.07121
2020-04-16,82843.77577
2020-04-17,85282.78373
2020-04-20,83710.68807999999
2020-04-21,81794.01017
2020-04-22,83262.05414
2020-04-23,83710.17973
2020-04-24,84512.30318
2020-04-27,85955.25418
2020-04-28,86932.04283
2020-04-29,89378.25858
2020-04-30,87450.69668
2020-05-01,84719.12943
2020-05-04,84664.41759
2020-05-05,84985.13167
2020-05-06,84172.27561
2020-05-07,85092.56485
2020-05-08,87002.67066999999
2020-05-11,86031.44187
2020-05-12,84541.01649
2020-05-13,82653.50055
2020-05-14,83371.09489
2020-05-15,83293.42085
2020-05-18,86611.50691
2020-05-19,85961.99907
2020-05-20,87135.59875
2020-05-21,86838.55639
2020-05-22,86794.27923
2020-05-25,86794.27923
2020-05-26,88682.62567
2020-05-27,90452.41061
2020-05-28,89709.02655
2020-05-29,89213.65899
2020-06-01,90102.39857
2020-06-02,90950.82459
2020-06-03,93071.16404
2020-06-04,93600.8419
2020-06-05,96332.74734
2020-06-08,98195.17552
2020-06-09,96753.6586
2020-06-10,94921.42219
2020-06-11,89691.63956
2020-06-12,91172.94845
2020-06-15,91663.66927
2020-06-16,93147.16048
2020-06-17,92575.27597
2020-06-18,92333.16544
2020-06-19,91783.08595
2020-06-22,91931.78604
2020-06-23,92201.68336
2020-06-24,89862.20293
2020-06-25,90471.85485999999
2020-06-26,89016.05778
2020-06-29,90834.6146
2020-06-30,91458.71367
2020-07-01,91158.54985
2020-07-02,91655.59881
2020-07-03,91584.23101
2020-07-06,92592.92252
2020-07-07,91421.92426
2020-07-08,91585.83245
2020-07-09,90470.37462
2020-07-10,91956.02086
2020-07-13,91610.91251
2020-07-14,92817.17594
2020-07-15,94080.90884
2020-07-16,94101.28988
2020-07-17,94324.2214
2020-07-20,94064.36541
2020-07-21,94878.87642
2020-07-22,95466.68499
2020-07-23,95009.86362
2020-07-24,94529.63741
2020-07-27,95055.35374
2020-07-28,94860.72722
2020-07-29,95522.92108
2020-07-30,94802.71759
2020-07-31,94775.3896
2020-08-03,95102.61867
2020-08-04,95698.69421
2020-08-05,96447.55607
2020-08-06,96424.70895
2020-08-07,96844.24457
2020-08-10,98070.35369999999
2020-08-11,97819.45544
2020-08-12,98406.36664
2020-08-13,97965.6721
2020-08-14,98056.49781
2020-08-17,98005.21894
2020-08-18,97688.66167
2020-08-19,97481.75283
2020-08-20,97135.97832
2020-08-21,96927.42906
2020-08-24,98337.8312
2020-08-25,98192.06646
2020-08-26,98165.87538
2020-08-27,98276.85175
2020-08-28,99144.34994
2020-08-31,98410.57082
2020-09-01,98495.20323
2020-09-02,99871.36104999999
2020-09-03,97818.46147
2020-09-04,97645.99365
2020-09-07,97727.02735
2020-09-08,96241.81853
2020-09-09,97350.82721
2020-09-10,96206.94515
2020-09-11,96381.03815
2020-09-14,97552.34879
2020-09-15,97646.83439
2020-09-16,98072.99335
