date,costs,cumulative_costs,trigger,num_trades,portfolio_value,costs_bps
2020-01-01,127.98,127.98,forced,87,100000.0,12.798
2020-02-03,60.32,188.3,scheduled,57,99652.21178,6.0530518011147745
2020-03-02,54.05,242.35000000000002,scheduled,51,94307.1779,5.73127106584747
2020-04-01,74.53,316.88,scheduled,70,75556.07653,9.864196689780126
2020-05-01,58.73,375.61,scheduled,55,84719.12943,6.932318638676077
2020-06-01,49.25,424.86,scheduled,47,90102.39857,5.46600321208297
2020-07-01,52.2,477.06,scheduled,50,91158.54985,5.726286792176302
2020-08-03,46.76,523.82,scheduled,44,95102.61867,4.916794159186532
2020-09-01,57.06,580.8800000000001,scheduled,54,98495.20323,5.7931755180764455
2020-10-01,50.58,631.4600000000002,scheduled,48,96471.53217,5.242997479387913
2020-11-02,63.99,695.4500000000002,scheduled,60,97340.08114,6.573859323988643
2020-12-01,70.84,766.2900000000002,scheduled,65,109695.0715,6.457901802817094
2021-01-01,41.75,808.0400000000002,scheduled,40,112467.362,3.7121880746167055
2021-02-01,50.6,858.6400000000002,scheduled,48,112900.532,4.48182121940754
2021-03-01,63.38,922.0200000000002,scheduled,59,118435.13594,5.351452463575398
2021-04-01,48.24,970.2600000000002,scheduled,46,123441.80824,3.9079142381169643
2021-05-03,48.3,1018.5600000000002,scheduled,46,126074.85564,3.8310573313617797
2021-06-01,48.66,1067.2200000000003,scheduled,46,127807.77623999999,3.8072800757150547
2021-07-01,47.4,1114.6200000000003,scheduled,45,125881.11224,3.765457673239256
2021-08-02,51.41,1166.0300000000004,scheduled,48,125385.82454,4.100144509046907
2021-09-01,49.07,1215.1000000000004,scheduled,46,127136.32644,3.8596364527771545
2021-10-01,63.18,1278.2800000000004,scheduled,59,124732.44074,5.0652420192511345
2021-11-01,56.66,1334.9400000000005,scheduled,52,129222.09974,4.384698910944968
2021-12-01,67.87,1402.8100000000004,scheduled,63,126823.71934,5.3515225979178425
2022-01-03,45.52,1448.3300000000004,scheduled,42,135216.97464,3.3664412416556346
2022-02-01,56.34,1504.6700000000003,scheduled,53,132474.36964,4.252898138191134
2022-03-01,63.83,1568.5000000000002,scheduled,58,130443.18774,4.893318011150284
2022-04-01,64.65,1633.1500000000003,scheduled,59,134732.00224,4.798414550749276
