market,isin,symbol,name
LSE,AU000000AEE7,AURA,Aura Energy Ltd GBX
LSE,AU000000BHP4,BHP,BHP Group LTD GBX
LSE,AU000000BKY0,BKY,Berkeley Energia Ltd GBX
LSE,AU000000GBP6,GEO,GLOBAL PET. GBX
LSE,AU0000237554,ALL,Atlantic Lithium LTD  GBX
LSE,AU0000397705,GGP,Greatland Resources LTD GBX
LSE,BMG5361W1047,LRE,Lancashire Holdings Ltd GBX
LSE,BMG864081044,SLP,Sylvania Platinum Ltd GBX
LSE,CA98936C8584,ZEN,Zenith Energy Ltd. GBX
LSE,CH0198251305,CCH,Coca Cola HBC GBX
LSE,CY0106002112,ATYM,Atalaya Mining Copper S.A. GBX
LSE,CY0109692117,FRG,GBX
LSE,ES0177542018,IAG,GBX
LSE,FR001400T0D6,CAN,Canal+ GBP
LSE,GB0000365774,AEP,Anglo-Eastern Plantations PLC GBX
LSE,GB0000456144,ANTO,Antofagasta PLC GBX
LSE,GB0000536739,AHT,ASHTEAD GROUP PLC ORD 10P GBX
LSE,GB0000811801,BTRW,BARRATT REDROW PLC GBX
LSE,GB0000904986,BWY,BELLWAY PLC ORD 12.5P GBX
LSE,GB0000961622,BBY,BALFOUR BEATTY PLC ORD 50P GBX
LSE,GB0001110096,BOOT,Henry Boot PLC GBX
LSE,GB0001367019,BLND,British Land PLC GBX
LSE,GB0001500809,TLW,Tullow Oil PLC GBX
LSE,GB0001638955,JDW,WETHERSPOON ( J.D.) PLC GBX
LSE,GB0001639920,CLDN,Caledonia Investments Plc GBX
LSE,GB0001859296,VTY,VISTRY GROUP PLC GBX
LSE,GB0001990497,CTY,GBX
LSE,GB0002074580,GNS,GENUS PLC ORD 10P GBX
LSE,GB0002318888,CWK,Cranswick GBX
LSE,GB0002349065,RE.,R.E.A Holdings PLC GBX
LSE,GB0002374006,DGE,Diageo PLC GBX
LSE,GB0002634946,BA.,BAE Systems PLC GBX
LSE,GB0002869419,BYG,Big Yellow Group Plc GBX
LSE,GB0002875804,BATS,British American Tobacco GBX
LSE,GB0003052338,EDIN,GBX
LSE,GB0003308607,SXS,Spectris Plc GBX
LSE,GB0003718474,GAW,Games Workshop Group plc GBX
LSE,GB0004052071,HLMA,Halma PlC GBX
LSE,GB0004082847,STAN,Standard Chartered PLC GBX
LSE,GB0004161021,HAS,HAYS PLC ORD 1P GBX
LSE,GB0004178710,HSM,Heath (Samuel) & Sons PLC GBX
LSE,GB0004300496,PAF,Pan African Resources PLC GBX
