Market,ISIN,Symbol,Name,Currency,AUM,Replication,Fee,Dividend
DEU-XETRA,DE000A0S9GB0,4GLD:GR,XETRA GOLD  (4GLD GR ETF),EUR,13810,Fizyczna,"0,36",Nie wypłaca
DEU-XETRA,JE00B1VS3770,VZLD:GR,WISDOMTREE PHYSICAL GOLD (VZLD GR ETF),EUR,4348,Fizyczna,"0,39",Nie wypłaca
DEU-XETRA,DE000A1E0HR8,XAD5:GR,XTRACKERS PHYSICAL GOLD ETC EUR (XAD5 GR ETF),EUR,2018,Fizyczna,"0,25",Nie wypłaca
DEU-XETRA,DE000A1EK0G3,XAD1:GR,DB-X PHYSICAL GOLD EURO HEDGED ETC (XAD1 GR ETF),EUR,1380,Fizyczna,"0,59",Nie wypłaca
DEU-XETRA,JE00B1VS3333,VZLC:GR,WISDOMTREE PHYSICAL SILVER (VZLC GR ETF),EUR,1229,Fizyczna,"0,49",Nie wypłaca
DEU-XETRA,JE00B1VS2W53,VZLA:GR,WISDOMTREE PHYSICAL PLATINUM (VZLA GR ETF),EUR,378,Fizyczna,"0,49",Nie wypłaca
GBR-LSE,IE00B4ND3602,SGLN:LN,ISHARES PHYSICAL GOLD ETC (SGLN LN ETF),GBP,13841,Fizyczna,"0,12",Nie wypłaca
GBR-LSE,JE00B1VS3770,PHAU:LN,WISDOMTREE PHYSICAL GOLD (PHAU LN ETF),USD,4348,Fizyczna,"0,39",Nie wypłaca
GBR-LSE,JE00B1VS3333,PHAG:LN,WISDOMTREE PHYSICAL SILVER (PHAG LN ETF),USD,1229,Fizyczna,"0,49",Nie wypłaca
GBR-LSE,IE00B4NCWG09,ISLN:LN,ISHARES PHYSICAL SILVER ETC (ISLN LN ETF),USD,453,Fizyczna,"0,20",Nie wypłaca
GBR-LSE,JE00B1VS2W53,PHPT:LN,WISDOMTREE PHYSICAL PLATINUM (PHPT LN ETF),USD,378,Fizyczna,"0,49",Nie wypłaca
GBR-LSE,XS2115336336,RMAU:LN,THE ROYAL MINT PHYSICAL GOLD ETC SECURITIES (RMAU LN ETF),USD,828,Fizyczna,"0,25",Nie wypłaca
GBR-LSE,JE00B1VS3002,PHPD:LN,WISDOMTREE PHYSICAL PALLADIUM (PHPD LN ETF),USD,110,Fizyczna,"0,49",Nie wypłaca
GBR-LSE,JE00B1VS3W29,PHPM:LN,WISDOMTREE PHYSICAL PRECIOUS METALS (PHPM LN ETF),USD,135,Fizyczna,"0,44",Nie wypłaca
DEU-XETRA,IE000NDWFGA5,URNU:GR,GLOBAL X URANIUM UCITS ETF (URNU GR ETF),EUR,68,Fizyczna,"0,65",Nie wypłaca
DEU-XETRA,DE000A0Q4R28,EXV5:GR,ISHARES STOXX EUROPE 600 AUTOMOBILES & PARTS UCITS (EXV5 GR ETF),EUR,138,Fizyczna,"0,46",b. d.
