Market,ISIN,Symbol,Name,Currency,AUM,Replication,Fee,Dividend
LONDON STOCK EXCHANGE (GBP) GBR-LSE COCA-COLA HBC AG,CH0198251305,CCH:LN,HB,GBP,,,,
LONDON STOCK EXCHANGE (GBP) GBR-LSE GLENCORE PLC,JE00B4T3BW64,GLEN:LN,PLC,GBP,,,,
LONDON STOCK EXCHANGE (GBP) GBR-LSE WIZZ AIR HOLDINGS PLC,JE00BN574F90,WIZZ:LN,AIR,GBP,,,,
LONDON STOCK EXCHANGE (GBP) GBR-LSE WPP PLC,JE00B8KF9B49,WPP:LN,PLC,GBP,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE  GARRETT MOTION INC,US3665051054,GTX:US,MOTI,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE 3D SYSTEMS CORP,US88554D2053,DDD:US,SYSTEMS,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE 3M CO,US88579Y1010,MMM:US,CO,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE A10 NETWORKS INC,US0021211018,ATEN:US,NETWORKS,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ABBOTT LABS,US0028241000,ABT:US,LABS,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ABBVIE INC,US00287Y1091,ABBV:US,INC,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE,US0028962076,ANF:US,& FITCH CO ABERCROMBIE,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ABM INDUSTRIES INC,US0009571003,ABM:US,INDUST,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ACCENTURE,IE00B4BNMY34,ACN:US,ACCENTURE,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ADIENT PLC,IE00BD845X29,ADNT:US,PLC,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ADT INC,US00090Q1031,ADT:US,INC,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ADTALEM GLOBAL EDUCATION INC,US00737L1035,ATGE:US,GLOB,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ADVANCE AUTO PARTS INC,US00751Y1064,AAP:US,AUTO,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AERCAP HOLDINGS NV,NL0000687663,AER:US,HOLDI,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AES CORP,US00130H1059,AES:US,CORP,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AFLAC INC,US0010551028,AFL:US,INC,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AGCO CORP,US0010841023,AGCO:US,CORP,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AGILENT TECH INC,US00846U1016,A:US,TECH,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AGNICO EAGLE MINES ,CA0084741085,AEM:US,EAGLE,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AGREE REALTY CORP,US0084921008,ADC:US,REALTY,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AIR LEASE CORP,US00912X3026,AL:US,LEASE,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE AIR,US0091581068,APD:US,& CHEMICALS INC AIR PRODUCTS,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ALASKA AIR GROUP,US0116591092,ALK:US,AIR,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ALBEMARLE,US0126531013,ALB:US,ALBEMARLE,USD,,,,
NEW YORK STOCK EXCHANGE (USD) USA-NYSE ALCOA INC,US0138721065,AA:US,INC,USD,,,,
